"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"pl. Mariacki 1, Krakow 31-042 Poland","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,"1410","420",,,"1320","420",,,"1320","420",,,"1320","420",,,"1410","420",,,"1410","420",,,"1410","420",,,"3488430","false","false","50.062077","19.939182","Castor coffee club","91","+48 504 202 451","$$ - $$$","1750","624","#59 of 139 Coffee & Tea in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d3488430-Reviews-Castor_coffee_club-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://castorcoffeeclub.pl/."
"Dluga 78 Near Nowy Kleparz, Krakow 31-146 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Austrian","Polish","European",,,,,,,,,"gakicyjska@vp.pl","1080","600",,,"1200","600",,,"1200","600",,,"1200","600",,,"1200","600",,,"1200","600",,,"1200","600",,,"17805819","false","false","50.07053","19.93666","Lodziarnia Galicyjska","7","+48 693 974 477","$","1750","941","#741 of 1,760 Restaurants in Krakow","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d17805819-Reviews-Lodziarnia_Galicyjska-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/LodziarniaGalicyjska/"
"Basztowa 15, Krakow Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12176919","false","false","50.0663","19.939814","Nakielny","78",,"$$ - $$$","1750","621","#86 of 121 Quick Bites in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d12176919-Reviews-Nakielny-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.facebook.com/Nakielny.Kawiarnia"
"Lubicz 1, Krakow 31-033 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","Cafe",,,,,,,,,,"biuro@kociakawiarnia.pl","1260","660",,,"1260","600",,,,,,,,,,,"1200","600",,,"1260","600",,,"1260","660",,,"13954595","false","false","50.064835","19.945312","Kocia Kawiarnia Kociarnia","45","+48 795 010 130","$","1750","626","#87 of 121 Quick Bites in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d13954595-Reviews-Kocia_Kawiarnia_Kociarnia-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://lubicz.kociakawiarniakrakow.pl"
"ul. Juliana Dunajewskiego 4, Krakow 31-001 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"753349","false","false","50.05781","19.938189","Bar Mleczny","66","+48 12 422 67 33","$","1750","638","#495 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d753349-Reviews-Bar_Mleczny-Krakow_Lesser_Poland_Province_Southern_Poland.html",
"ul. Warszauera 3 Near Plac Nowy, Krakow 31-057 Poland","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Soups","Vegetarian Friendly","Gluten Free Options",,,,,,,,,"zupakrakow@gmail.com","1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"9779008","false","false","50.0522","19.945267","ZUPA Soup Bar","52","+48 536 306 446","$","1750","631","#490 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d9779008-Reviews-ZUPA_Soup_Bar-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.facebook.com/pg/ZUPA-Soup-Bar-1543482642608485/about/"
"Slawkowska 19/1, Krakow 31-041 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4045875","false","false","50.060467","19.941027","Lodziarnia Katane","71",,"$","1750","640","#54 of 103 Dessert in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d4045875-Reviews-Lodziarnia_Katane-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://katane.pl"
"Miodowa 3, Krakow 31-055 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","American","European",,,,,,,,,,"zlew.miodowa3@gmail.com","1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"1439","0",,,"14079119","false","false","50.05162","19.942385","ZLEW","20",,"$","1750","637","#494 of 1,760 Restaurants in Krakow","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d14079119-Reviews-ZLEW-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/PUBZLEW/"
"ul. Starowislna 71, Krakow 31-052 Poland","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Polish","European","Central European",,,,,,,,,,"960","720",,,"960","720",,,"960","720",,,"960","720",,,"960","720",,,"960","720",,,"960","720",,,"1008991","false","false","50.052876","19.948912","Galicja Restauracja","83","+48 12 429 26 07","$$ - $$$","1750","634","#492 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d1008991-Reviews-Galicja_Restauracja-Krakow_Lesser_Poland_Province_Southern_Poland.html",
"Ulica Florianska 20, Krakow Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Polish","European",,,,,,,,,,,,,,"1200","600",,,"1200","600",,,"1200","600",,,"1200","600",,,"1200","600",,,"1200","600",,,"12125614","false","false","50.06333","19.939775","Bar Kanapkowy Zapiecek","18","+48 12 422 13 45","$","1750","635","#493 of 1,760 Restaurants in Krakow","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d12125614-Reviews-Bar_Kanapkowy_Zapiecek-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://zapiecek.krakow.pl/"
"Plac Bohaterow Getta 2, Krakow 33-332 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese","Japanese","Indian","Asian",,,,,,,,,"1320","0",,,,,,,"1320","0",,,"1320","0",,,"1320","0",,,"1320","0",,,"1320","0",,,"18337959","false","false","50.046375","19.954002","Madras Bistro","17","+48 791 612 715","$","1750","632","#491 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d18337959-Reviews-Madras_Bistro-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/madrasBistro/"
"ul.Pawia 5 Krakow, MA 31-154, Krakow 31-154 Poland","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,"1260","600",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"4413295","false","false","50.067997","19.945505","Starbucks Galeria Krakowska","115","+48 71 386 17 34","$$ - $$$","1750","633","#89 of 121 Quick Bites in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d4413295-Reviews-Starbucks_Galeria_Krakowska-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.starbucks.pl/?y_source=1_MTU0Mjc4MDMtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D"
"Jozefa Dietla 77, Krakow 31-050 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","European","Central European",,,,,,,,,,,,,,"1200","660",,,"1200","660",,,"1200","660",,,"1200","660",,,"1200","660",,,"1200","660",,,"15117160","false","false","50.05519","19.944557","Love Pierogi","17","+48 796 555 893","","1750","639","#496 of 1,760 Restaurants in Krakow","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d15117160-Reviews-Love_Pierogi-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/pierogikrakowpl"
"ul. Piastowska 20, Krakow 30-065 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Vegetarian Friendly","Vegan Options",,,,,,,,,"bezogrodekpark@gmail.com","1320","600",,,"1200","720",,,"1200","720",,,"1200","720",,,"1200","720",,,"1200","720",,,"1320","600",,,"10453964","false","false","50.062897","19.902252","Bezogrodek Food Truck Park","52",,"$","1750","636","#90 of 121 Quick Bites in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d10453964-Reviews-Bezogrodek_Food_Truck_Park-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/bezogrodekstreetfood/"
"Swietego Tomasza 20 Tomasza/Szpitalna Street, Krakow 30-020 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Polish","Bar","Vegetarian Friendly",,,,,,,"biuro@restauracjatomasza20.pl","1440","540",,,"1440","540",,,"1440","540",,,"1440","540",,,"1440","540",,,"1440","540",,,"1440","540",,,"13200536","false","false","50.06257","19.940878","Tomasza 20 Resto Bar","331","+48 509 599 029","$$ - $$$","1750","642","#498 of 1,760 Restaurants in Krakow","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d13200536-Reviews-Tomasza_20_Resto_Bar-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.restauracjatomasza20.pl/"
"ul.Stradomska 11, Krakow 31-058 Poland","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","American","Bar","Pub",,,,,,,,,"kontakt@bropub.pl","1080","720",,,"1140","780",,,"1140","780",,,"1140","540",,,"1140","780",,,"1140","780",,,"1080","720",,,"12902263","false","false","50.05319","19.939383","Bropub","62","+48 880 074 070","$$ - $$$","1750","645","#500 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d12902263-Reviews-Bropub-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://bropub.pl/"
"Krakowska 36 Near Wolnica Square, Krakow 31-062 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza","Italian",,,,,,,,,,"zadlo.krakow@gmail.com","1260","840",,,"1290","930",,,"1290","930",,,"1290","930",,,"1290","930",,,"1290","930",,,"1260","840",,,"16726363","false","false","50.049335","19.94324","Basilico","16",,"$","1750","649","#503 of 1,760 Restaurants in Krakow","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d16726363-Reviews-Basilico-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/Basilico-Italianpizza-Krakow-2210396062354167/"
"ul. Starowislna 52, Krakow 31-035 Poland","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,"1200","480",,,"1200","480",,,"1200","480",,,"1200","480",,,"1200","480",,,"1320","480",,,"1320","480",,,"6772649","false","false","50.05364","19.94847","Krakuski Cafe","66","+48 660 567 067","$","1750","643","#63 of 139 Coffee & Tea in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d6772649-Reviews-Krakuski_Cafe-Krakow_Lesser_Poland_Province_Southern_Poland.html",
"ul. Stradomska 13 Za Wawelem, Krakow 31-068 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Polish","European","Eastern European","Central European",,,,,,,"bazylia@restauracja-bazylia.pl","1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"4128840","false","false","50.05297","19.939516","Bazylia Restaurant","176","+48 12 262 57 04","$$ - $$$","1750","646","#501 of 1,760 Restaurants in Krakow","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d4128840-Reviews-Bazylia_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.restauracja-bazylia.pl"
"Na Zakolu Wisly 12B/LU2, Krakow 30-729 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","European",,,,,,,,,,"kontakt@vistulaport.pl","1200","720",,,"1200","720",,,"1200","720",,,"1200","720",,,"1200","720",,,"1320","720",,,"1320","720",,,"13277238","false","false","50.05356","19.983852","Vistula Port","24","+48 519 076 757","$$ - $$$","1750","641","#497 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d13277238-Reviews-Vistula_Port-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.vistulaport.pl"
"ul. Czysta 1, Krakow 31-121 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6974093","false","false","50.06389","19.927822","Gornik","27","+48 12 632 68 99","$","1750","647","#91 of 121 Quick Bites in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d6974093-Reviews-Gornik-Krakow_Lesser_Poland_Province_Southern_Poland.html",
"ul. Marii Konopnickiej 33, Krakow 30-302 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","International","Pub",,,,,,,,,"globe@hgi-krakow.pl","1500","1020",,,"1500","1020",,,"1500","1020",,,"1500","1020",,,"1500","1020",,,"1500","1020",,,"1500","1020",,,"2437895","false","false","50.04417","19.9341","Globe Restaurant, Bar & Cafe","29","+48 (0)12 399 9021 or +48 (0)12 399 9127","$$ - $$$","1750","650","#504 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d2437895-Reviews-Globe_Restaurant_Bar_Cafe-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://globe.krakow.pl"
"Szczepanska 1, Krakow 31-011 Poland","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Brew Pub","Polish","European","Pub","Wine Bar","Vegetarian Friendly",,,,,,"info@gruszkanova.pl","1320","719",,,"1320","719",,,"1320","719",,,"1320","719",,,"1320","719",,,"1320","719",,,"1320","719",,,"10278694","false","false","50.0629","19.936817","Gruszka Nova","51","+48 534 174 506","$$ - $$$","1750","644","#499 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d10278694-Reviews-Gruszka_Nova-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://gruszkanova.pl/"
"Slusarska 3, Krakow 30-710 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian",,,,,,,,,,,"bartlomiej.twojkucharz@gmail.com","1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"1320","720",,,"1320","720",,,"13743240","false","false","50.049652","19.961975","Piec na Zablociu","21","12533112352","$","1750","950","#749 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d13743240-Reviews-Piec_na_Zablociu-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://piecnazablociu.pl/"
"Rynek Glovny, Krakow Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","European","Eastern European","Central European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4743838","false","false","50.060764","19.937267","Restauracja Max 18","467","+48 22 222 22 22","$$ - $$$","1750","648","#502 of 1,760 Restaurants in Krakow","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d4743838-Reviews-Restauracja_Max_18-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.facebook.com/pages/Max-18/501988763152358"
"ul. Tomasza Zana 31, Krakow 30-644 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","Bar","Pub","European",,,,,,,,,"1500","960",,,"1500","720",,,"1500","720",,,"1500","720",,,"1500","720",,,"1560","720",,,"1560","960",,,"4020148","false","false","50.06214","19.941936","Oldsmobil Pub & Restaurant","91","+48 12 425 40 00","$$ - $$$","1750","706","#550 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d4020148-Reviews-Oldsmobil_Pub_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/oldsmobilpub"
"ul. Karmelicka 68, Krakow 31-128 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","American",,,,,,,,,,,,,,,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"1320","660",,,"4002256","false","false","50.068703","19.927052","Smack Burger","32",,"$","1750","703","#547 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d4002256-Reviews-Smack_Burger-Krakow_Lesser_Poland_Province_Southern_Poland.html",
"Szczepanska 3 31-011 Kraków, Krakow 31-011 Poland","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Seafood","Fast Food","Sushi","Diner","Vegetarian Friendly",,,,,,"suto@sutohandroll.pl","1440","720",,,"1320","720",,,"1320","720",,,"1320","720",,,"1560","720",,,"1560","720",,,"1560","720",,,"10487845","false","false","50.06299","19.93658","SUTO","49","+48 511 751 721","$","1750","704","#548 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d10487845-Reviews-SUTO-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://sutohandroll.pl"
"ul. Szeroka 39, Krakow 31-053 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"753342","false","false","50.05281","19.947676","Szeroka Na Kazimierzu Restauracja","26","+48 12 422 67 90","$$ - $$$","1750","705","#549 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d753342-Reviews-Szeroka_Na_Kazimierzu_Restauracja-Krakow_Lesser_Poland_Province_Southern_Poland.html",
"ul. Boleslawa Orlinskiego 3/2, Krakow 31-878 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Thai",,,,,,,,"biuro@yapitosushi.pl","1260","720",,,"1320","720",,,"1320","720",,,"1320","720",,,"1320","720",,,"1320","720",,,"1380","720",,,"17322940","false","false","50.08126","20.00144","Yapito Sushi Bar","12","+48 731 301 003","$$ - $$$","1750","707","#551 of 1,760 Restaurants in Krakow","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d17322940-Reviews-Yapito_Sushi_Bar-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://yapitosushi.pl"
"ul. Lubicz 17J, Krakow 31-503 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","Bar","European","Pub","Brew Pub",,,,,,,"info@browar-lubicz.com.pl","1380","780",,,"720","0",,,"720","0",,,"720","0",,,"720","0",,,"60","0",,,"1500","780",,,"8659320","false","false","50.06473","19.949247","Browar Lubicz","268","+48 12 353 99 44","$$ - $$$","1750","708","#552 of 1,760 Restaurants in Krakow","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d8659320-Reviews-Browar_Lubicz-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.browar-lubicz.com.pl/"
"Kazimierza Brodzinskiego 6, Krakow 30-506 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Brew Pub","Cafe","Pub","Vegetarian Friendly",,,,,,,,"meryselery@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12479540","false","false","50.045265","19.9481","Absurdalia Cafe","28",,"$","1750","701","#545 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d12479540-Reviews-Absurdalia_Cafe-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/absurdaliacafe/about/?ref=page_internal"
"pl. Wolnica 11 Malopolskie, Krakow 31-060 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Polish","Bar","Pub",,,,,,,,"info@piwnicawolnica.pl","1500","600",,,"1500","600",,,"1500","600",,,"1500","600",,,"1500","600",,,"1680","600",,,"1680","600",,,"7992468","false","false","50.048645","19.944721","Zachcianka","46","+48 12 422 20 51","$$ - $$$","1750","702","#546 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d7992468-Reviews-Zachcianka-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.facebook.com/zachcianka"
"ul. Rynek Glowny 27 Palac pod Baranami, Krakow 31-010 Poland","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,,,,,,,,,,,"restaurant","Polish","Eastern European","European","Central European",,,,,,,,,"1440","720",,,"1440","720",,,"1440","720",,,"1440","720",,,"1440","720",,,"1440","720",,,"1440","720",,,"3825047","false","false","50.06155","19.93557","Zbojcy w Palacu","45","+48 12 422 55 52","","1750","709","#553 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d3825047-Reviews-Zbojcy_w_Palacu-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/pages/Zb%C3%B3jcy-w-Pa%C5%82acu-Restauracja-Polska/475206635843123"
"Krakowska 28, Krakow 31-062 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","European",,,,,,,,,,"fb@goldentulipkrakowkazimierz.com","1320","840",,,"1320","840",,,"1320","840",,,"1320","840",,,"1320","840",,,"1320","840",,,"1320","840",,,"12793906","false","false","50.049397","19.943306","Estragon Restaurant","21","+48 12 424 48 40","$$ - $$$","1750","710","#554 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d12793906-Reviews-Estragon_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://krakow-kazimierz.goldentulip.com/en-us/hotel-restaurants/"
"Biskupia 2 Corner with Łobzowska street, Krakow 31-144 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13081831","false","false","50.06741","19.93398","Lunch Bar Marco","17","+48 537 890 375","$","1750","714","#557 of 1,760 Restaurants in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d13081831-Reviews-Lunch_Bar_Marco-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/LunchBarMarco/"
"Mostowa 8, Krakow 31-061 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Brew Pub","Cafe","Pub",,,,,,,,,"anna_bialas1@wp.pl","1320","600",,,"1260","660",,,"1260","660",,,"1320","660",,,"1380","660",,,"1380","660",,,"1380","600",,,"16674073","false","false","50.047913","19.946041","""Po Drodze"" kawiarnia przy kladce","12","+48 605 227 181","$$ - $$$","1750","718","#560 of 1,760 Restaurants in Krakow","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d16674073-Reviews-Po_Drodze_kawiarnia_przy_kladce-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/mostowa8/?rf=137033363032759"
"Solna 1, Krakow 30-527 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","European",,,,,,,,,,"rezerwacje@solna1.pl","1320","540",,,"1440","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"1320","540",,,"20481410","false","false","50.04721","19.954102","Solna 1","14","+48 781 690 900","$$ - $$$","1750","715","#558 of 1,760 Restaurants in Krakow","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d20481410-Reviews-Solna_1-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://solna1.restaurant/"
"Zwierzyniecka 8, Krakow 33-332 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Polish","British","Russian","Ukrainian","Cafe","European","Vegetarian Friendly",,,,"mashercafe@gmail.com","1020","450",,,"1020","450",,,"1020","450",,,"1020","450",,,"1020","450",,,"1020","450",,,"1020","450",,,"14862512","false","false","50.058174","19.932072","Masher Cafe","36","+48 690 491 675","$","1750","711","#555 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d14862512-Reviews-Masher_Cafe-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/mashercafe/"
"Wawel 9, Krakow 31-001 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European",,,,,,,,,,,"1200","540",,,"1200","540",,,"1200","540",,,"1200","540",,,"1200","540",,,"1200","540",,,"1200","540",,,"7264029","false","false","50.053417","19.93436","Kawiarnia Slodki Wawel","67","+48 12 422 05 90","$$ - $$$","1750","713","#61 of 103 Dessert in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d7264029-Reviews-Kawiarnia_Slodki_Wawel-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://wawel.com.pl/pl/sklepy-firmowe/adresy-sklepow/krakow-zamek-krolewski.html"
"ul. Przemyslowa 12, Krakow 30-701 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,"przemyslowa12@coffeece.pl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9561330","false","false","50.04904","19.960539","Coffeece","21","+48 733 230 070","$","1750","720","#71 of 139 Coffee & Tea in Krakow","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d9561330-Reviews-Coffeece-Krakow_Lesser_Poland_Province_Southern_Poland.html","https://www.facebook.com/Coffeece-460383767474092"
"ul. Gen. Jozefa Dwernickiego 5, Krakow 31-530 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub","Polish","European",,,,,,,,"Hex.krakow@gmail.com","1440","660",,,"1440","960",,,"1440","960",,,"1440","960",,,"1440","960",,,"1440","660",,,"1440","660",,,"7617678","false","false","50.05938","19.949465","Hex Cafe","45","+48 792 795 272","$","1750","719","#561 of 1,760 Restaurants in Krakow","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274772-d7617678-Reviews-Hex_Cafe-Krakow_Lesser_Poland_Province_Southern_Poland.html","http://www.facebook.com/HEXspot"
