"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Aristofanous 13, Athens 10554 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Greek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19865583","false","false",,,"Art Eden","10","+30 698 004 1120","$$ - $$$","2681","1030","#864 of 2,546 Restaurants in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d19865583-Reviews-Art_Eden-Athens_Attica.html","https://www.facebook.com/pages/category/Art/Art-%CE%95%CE%B4%CE%AD%CE%BC-622793121561523/"
"Kalamiotoy 18, Athens 10563 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Greek","Mediterranean","Vegetarian Friendly",,,,,,,,"ottorestobarath@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10226821","false","false","37.977486","23.729275","Otto Resto Bar","103","+30 698 745 4777","$$ - $$$","2681","1038","#871 of 2,546 Restaurants in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10226821-Reviews-Otto_Resto_Bar-Athens_Attica.html","http://el-gr.facebook.com/Otto-Resto-Bar"
"Kyprou 57, Athens 16674 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8415757","false","false","37.86114","23.755219","Fifty Seven","38","+30 21 0894 2949","$$ - $$$","2681","1039","#872 of 2,546 Restaurants in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d8415757-Reviews-Fifty_Seven-Athens_Attica.html",
"Asomaton 22 Dipilou, Inside the Museum of Islamic Art, Benaki Museum, Athens 10553 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Mediterranean","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10697214","false","false","37.97923","23.72027","Benaki Cafe","32","+30 21 0367 1000","$$ - $$$","2681","1031","#85 of 248 Coffee & Tea in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10697214-Reviews-Benaki_Cafe-Athens_Attica.html","http://www.benaki.gr/index.asp?id=2010101&sid=0&cat=0&lang=en"
"Syngrou Avenue 88-93, Athens 11745 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3723806","false","false","37.95959","23.72101","Cafezoe","24","+30 21 0920 6000","$$ - $$$","2681","1036","#869 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d3723806-Reviews-Cafezoe-Athens_Attica.html",
"Filellinon 22 Kydathinaion, Athens 10557 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek","Cafe","Fast Food","International","Mediterranean",,,,,,,"iliada042016@gmail.com","1440","420",,,,,"1440","420",,,,,"1440","420",,,,,"1440","420",,,,,"1440","420",,,,,"1440","420",,,,,"1439","0",,,,,"12658864","false","false","37.972748","23.733557","Iliada","12","+30 21 1407 6438","$","2681","1034","#867 of 2,546 Restaurants in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d12658864-Reviews-Iliada-Athens_Attica.html","http://www.facebook.com/iliada.coffee.snack/"
"Plateia Filimousou Etairias 3 Olympiou Diou 2, Athens 105 58 Greece","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Greek","Vegetarian Friendly","Vegan Options",,,,,,,,,"acropolplaka@yahoo.com","900","480",,,,,"990","480",,,,,"990","480",,,,,"990","480",,,,,"990","480",,,,,"990","480",,,,,"900","480",,,,,"6833930","false","false","37.971863","23.73119","Acropol Restaurant","96","+30 21 0324 8268","$$ - $$$","2681","1037","#870 of 2,546 Restaurants in Athens","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d6833930-Reviews-Acropol_Restaurant-Athens_Attica.html","http://www.acropolplaka.com/en/"
"Patriarchou Ioakim 45, Athens 10676 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","International","Cafe","European","Healthy","Vegetarian Friendly","Vegan Options",,,,,,,"1050","450",,,,,"1050","450",,,,,"1050","450",,,,,"1050","450",,,,,"1050","450",,,,,"1050","450",,,,,"1050","450",,,,,"13967126","false","false","37.97832","23.744944","Queen Bee","116","+30 21 0720 9933","$$ - $$$","2681","1041","#874 of 2,546 Restaurants in Athens","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d13967126-Reviews-Queen_Bee-Athens_Attica.html","https://www.facebook.com/queenbee.athens/"
"Emmanuil Benaki 3, Athens Greece","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Bar","Mediterranean","Greek","Wine Bar","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3814481","false","false","37.982918","23.729824","Fabrica De Vino","195","+30 21 0321 4148","$$ - $$$","2681","1049","#880 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d3814481-Reviews-Fabrica_De_Vino-Athens_Attica.html","http://www.fabricadevino.gr"
"Charilaou Trikoupi 89, Athens 11472 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek",,,,,,,,,,,"todentrotoukafe@gmail.com",,,,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1200","480",,,,,"12527017","false","false","37.98583","23.73884","To Dentro tou Kafe","13","+30 21 5550 3754","$","2681","1045","#86 of 248 Coffee & Tea in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d12527017-Reviews-To_Dentro_tou_Kafe-Athens_Attica.html","https://www.facebook.com/todentrotoukafe/?ref=page_internal"
"59 Leoforos Georgiou Papandreou Goudi, Zografou, Athens 157 73 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek",,,,,,,,,,,"info@terradelicia.gr","1080","600",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"1380","480",,,,,"9867349","false","false","37.982243","23.76942","Terra Delicia","15","+30 21 0775 2850","$","2681","1040","#873 of 2,546 Restaurants in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d9867349-Reviews-Terra_Delicia-Athens_Attica.html","http://www.facebook.com/terradelicia"
"30-32 Perikleous, Athens 105 62 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","American",,,,,,,,,,,"Trendsgr@otenet.gr",,,,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,,,,,,,"10194902","false","false","37.97675","23.73128","Trends Subs & Salads","14","+30 21 0321 0035","$","2681","1043","#876 of 2,546 Restaurants in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10194902-Reviews-Trends_Subs_Salads-Athens_Attica.html",
"Exact address will be emailed after you book on EatWith.",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13276874","false","false","37.974","23.749","Marina of Athens","12",,"$$ - $$$","2681","1047","#2 of 3 Dine With a Local Chef in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d13276874-Reviews-Marina_of_Athens-Athens_Attica.html","http://www.eatwith.com/users/15677?affid=en-tripadvisor-partnership-dikastika-h-15677&utm_source=tripadvisor&utm_medium=partnership&utm_campaign=en-tripadvisor-partnership-dikastika-h-15677"
"Tatoiou 129 Metamorfosi, Athens Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Greek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7182315","false","false","38.059074","23.755781","Tsipouromania","26","+30 698 690 2478","","2681","1044","#877 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d7182315-Reviews-Tsipouromania-Athens_Attica.html",
"Anexartisias 9 Lofos Strefi, Athens 10681 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek","Mediterranean","Vegetarian Friendly",,,,,,,,,"exostrefis.lofostrefi@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8627995","false","false","37.98769","23.737879","Exostrefis","46","+30 21 5551 5656","$","2681","1046","#878 of 2,546 Restaurants in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d8627995-Reviews-Exostrefis-Athens_Attica.html","https://www.facebook.com/Exostrefisdownstairs/timeline"
"Agion Anargiron 17 Taki 10, Athens Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Bar","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8051670","false","false","37.978683","23.724178","B Social","35","+30 21 0321 0627","$","2681","1042","#875 of 2,546 Restaurants in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d8051670-Reviews-B_Social-Athens_Attica.html",
"2 Vassilikis, Athens 105 60 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","American","European","Greek","Contemporary","Pub",,,,,,"info@rocknballs.gr","960","0","1440","1320",,,"960","0","1440","1320",,,"960","0","1440","1320",,,"960","0","1440","1320",,,"960","0","1440","1320",,,"960","0","1440","1320",,,"960","0","1440","1320",,,"6362865","false","false","37.97723","23.72827","Rock & Balls","157","+30 21 0321 1112","$$ - $$$","2681","790","#666 of 2,546 Restaurants in Athens","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d6362865-Reviews-Rock_Balls-Athens_Attica.html","http://www.rocknballs.gr"
"14 G. Olympiou st., Athens 11741 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Brew Pub","Mediterranean","Greek","Pub","Wine Bar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10127424","false","false","37.962696","23.722145","Asymmetro","13","+30 21 3030 3981","$$ - $$$","2681","1048","#879 of 2,546 Restaurants in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10127424-Reviews-Asymmetro-Athens_Attica.html","http://www.facebook.com/%CE%91%CE%A3%CF%8D%CE%9C%CE%9C%CE%95%CE%A4%CE%A1%CE%9F-732467620105748/"
"Athanasiou Axarlian 2, Athens 10563 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Street Food",,,,,,,,,,,,,,,,,,"1020","420",,,,,"1020","420",,,,,"1020","420",,,,,"1020","420",,,,,"1020","420",,,,,"1020","420",,,,,"14241553","false","false","37.97613","23.732483","Harry's Kitchen","6","+30 694 477 6515","$","2681","1449","#1,211 of 2,546 Restaurants in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d14241553-Reviews-Harry_s_Kitchen-Athens_Attica.html",
"Stournari 2 Exarchia Square, Athens Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,"hbbhcoffeebar@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4137421","false","false","37.9868","23.735348","HBH Coffee Bar","13","+30 21 5510 0787","$$ - $$$","2681","1456","#131 of 248 Coffee & Tea in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d4137421-Reviews-HBH_Coffee_Bar-Athens_Attica.html","http://www.facebook.com/pages/HBH-coffee-bar/268819376571985"
"1 Apostolon Petrou & Pavlou, Athens 172 37 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10154171","false","false","37.9553","23.74658","The Brouskounia","22","+30 21 0761 0710","","2681","1452","#1,214 of 2,546 Restaurants in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10154171-Reviews-The_Brouskounia-Athens_Attica.html","https://el-gr.facebook.com/TaMprouskounia"
"Themistokleous 43-45 Exarcheia, Athens 106 83 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","International","Mediterranean","Turkish","Greek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12946159","false","false","37.9858","23.73351","Kumpirista","9","+30 21 2102 5826","$","2681","1450","#1,212 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d12946159-Reviews-Kumpirista-Athens_Attica.html","http://www.facebook.com/Kumpirista-874884449329618/"
"Voulis 7, Athens 10562 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17370311","false","false","37.97685","23.73285","Butcher's Burger","13","+30 21 0323 0801","$$ - $$$","2681","1458","#1,219 of 2,546 Restaurants in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d17370311-Reviews-Butcher_s_Burger-Athens_Attica.html",
"Spetson 46 Kypseli, Athens 113 62 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","African","Ethiopian","Vegan Options",,,,,,,,,"email@habeshaspetson46.com","1620","1020",,,,,,,,,,,"1620","960",,,,,"1620","960",,,,,"1620","960",,,,,"1620","1020",,,,,"1620","1020",,,,,"13188661","false","false","37.9975","23.738333","Habesha","17","+30 695 500 7833","$$ - $$$","2681","1453","#1,215 of 2,546 Restaurants in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d13188661-Reviews-Habesha-Athens_Attica.html","http://habeshaspetson46.com"
"Kiafas 8, Athens 106 78 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6856850","false","false","37.98352","23.73315","Jarmusch","24","+30 21 1012 0494","","2681","1451","#1,213 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d6856850-Reviews-Jarmusch-Athens_Attica.html","https://www.facebook.com/jarmuschathens/timeline?ref=page_internal"
"2 Vas. Georgiou A' Constitution Square, Athens 105 63 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Bar","Greek","Pub",,,,,,,,,"1439","540",,,,,"1439","540",,,,,"1439","540",,,,,"1439","540",,,,,"1439","540",,,,,"1439","540",,,,,"1439","540",,,,,"7710708","false","false","37.9759","23.735184","Ethnikon","34","+30 21 0331 0576","$$ - $$$","2681","1457","#1,218 of 2,546 Restaurants in Athens","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d7710708-Reviews-Ethnikon-Athens_Attica.html",
"Zaharia Papantoniou 30, Athens Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek",,,,,,,,,,,"petrospoulis4@gmail.com",,,,,,,"1470","960",,,,,"1470","960",,,,,"1470","960",,,,,"1470","960",,,,,"1470","960",,,,,"1470","960",,,,,"10336962","false","false","38.01777","23.72697","Tsantakias","7","+30 21 0854 4702","","2681","1454","#1,216 of 2,546 Restaurants in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10336962-Reviews-Tsantakias-Athens_Attica.html","http://tsantakias-souvlaki.gr"
"45 Alexandras, Athens 172 35 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek",,,,,,,,,,,,"1470","780",,,,,"1470","780",,,,,"1470","780",,,,,"1470","780",,,,,"1470","780",,,,,"1470","780",,,,,"1470","780",,,,,"8686078","false","false","37.950222","23.733461","Doctor Grill","12","+30 21 0970 2302","$","2681","1455","#1,217 of 2,546 Restaurants in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d8686078-Reviews-Doctor_Grill-Athens_Attica.html","http://www.doctorgrill.gr"
"Ermou 78, Athens Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","French",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3952962","false","false","37.97683","23.72646","Trano Pastry Shop","9",,"$$ - $$$","2681","1467","#32 of 57 Bakeries in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d3952962-Reviews-Trano_Pastry_Shop-Athens_Attica.html",
"Karageorgi Servias 3, Athens 10563 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Deli",,,,,,,,,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"15076549","false","false","37.97629","23.73329","Matsouka","16","+30 21 0325 2054","$$ - $$$","2681","1459","#117 of 160 Dessert in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d15076549-Reviews-Matsouka-Athens_Attica.html","https://www.facebook.com/MatsoukaLeChocolat/"
"Levidou 13, Athens 14562 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","Greek",,,,,,,,,"info@natu.gr","1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"21129951","false","false","38.07447","23.814854","Natu","24","+30 21 0801 1170","$$ - $$$","2681","1464","#1,224 of 2,546 Restaurants in Athens","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d21129951-Reviews-Natu-Athens_Attica.html","http://www.natu.gr"
"Mnisikleous 25, Athens Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8021254","false","false","37.9734","23.727867","Esperides","35","+30 21 0321 7747","$$ - $$$","2681","1465","#1,225 of 2,546 Restaurants in Athens","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d8021254-Reviews-Esperides-Athens_Attica.html",
"Cheiden 15, Athens 10434 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14895995","false","false","37.993095","23.730436","To Kalamaki Tis Kira Sofias","6","+30 21 0881 2800","$$ - $$$","2681","1463","#1,223 of 2,546 Restaurants in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d14895995-Reviews-To_Kalamaki_Tis_Kira_Sofias-Athens_Attica.html",
"Sokratous 59, Athens 10431 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Deli",,,,,,,,,,,"theoktist@hotmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12941134","false","false","37.9839","23.726774","Th. Ktistakis","10","+30 21 0524 0891","","2681","1468","#119 of 160 Dessert in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d12941134-Reviews-Th_Ktistakis-Athens_Attica.html","https://www.facebook.com/Ktistakis.loukoumades/"
"Astiggos Street 13-15, Athens 105 55 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek","Bar","European","Pub",,,,,,,,"info@ora.com.gr","765","540",,,,,,,,,,,"720","540",,,,,"1440","540",,,,,"720","540",,,,,"765","540",,,,,"765","540",,,,,"13328701","false","false","37.976692","23.722408","Ora All Day Bar Restaurant","19","+30 21 5555 9137","$$ - $$$","2681","1461","#1,221 of 2,546 Restaurants in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d13328701-Reviews-Ora_All_Day_Bar_Restaurant-Athens_Attica.html","http://ora.com.gr"
"52 Panepistimiou Hotel Titania, Athens 106 78 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"8459924","false","false","37.9829","23.7297","La Brasserie","12","+30 21 0332 6000","","2681","1460","#1,220 of 2,546 Restaurants in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d8459924-Reviews-La_Brasserie-Athens_Attica.html","http://www.titania.gr/EL/estiatoria_athina"
"23 Karistou Ampelokipoi, Athens 115 24 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Greek",,,,,,,,,,"anastasopouloum@yahoo.gr","1440","900",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"10118220","false","false","37.99369","23.761173","4 Νanoi","9","+30 21 5530 1501","$","2681","1462","#1,222 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10118220-Reviews-4_anoi-Athens_Attica.html","http://www.facebook.com/4nanoi"
"Panepistimiou 41 Stoa Nikouloudi, Athens 105 64 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Deli",,,,,,,,,,,"ppaspal@hotmail.com",,,,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1140","660",,,,,"13375614","false","false","37.980816","23.7318","Chocotopia","7","+30 21 1400 1515","","2681","1466","#118 of 160 Dessert in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d13375614-Reviews-Chocotopia-Athens_Attica.html","https://www.facebook.com/chocotopia.gr/"
"Leonidou 87, Athens 104 35 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14039711","false","false","37.98079","23.71538","Lois Kafenio","11","+30 21 0347 6926","$","2681","1157","#99 of 248 Coffee & Tea in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d14039711-Reviews-Lois_Kafenio-Athens_Attica.html","http://www.facebook.com/477011455733936"
"Patission 8, Athens Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4424476","false","false","37.98447","23.729649","Grand Dionysos","30","+30 21 0381 2910","$","2681","1150","#961 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d4424476-Reviews-Grand_Dionysos-Athens_Attica.html",
"Miaouli 27, Athens 105 54 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek","Fast Food","Mediterranean",,,,,,,,,"theoldpsiri@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12994256","false","false","37.978336","23.724987","To Palio Psyrri","14","+30 21 0321 3131","$","2681","1469","#1,226 of 2,546 Restaurants in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d12994256-Reviews-To_Palio_Psyrri-Athens_Attica.html","https://www.facebook.com/Souvlakia-%CE%A4%CE%BF-%CF%80%CE%B1%CE%BB%CE%B9%CF%8C-%CE%A8%CF%85%CF%81%CF%81%CE%AE-1121075687912257/"
"35 Adrianiou, Athens 12000 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7158625","false","false","37.999805","23.772928","O Takis","9","+30 21 0674 7237","$","2681","1470","#1,227 of 2,546 Restaurants in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d7158625-Reviews-O_Takis-Athens_Attica.html",
"Leoforos Alexandras 49, Athens 11473 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Fast Food","Vegetarian Friendly",,,,,,,,,"republicathens@gmail.com","1380","540",,,,,"1380","510",,,,,"1380","510",,,,,"1380","510",,,,,"1380","540",,,,,"1380","510",,,,,"1380","540",,,,,"10396566","false","false","37.99024","23.742159","Republic Cafe Bar & Grill","22","+30 21 0644 7769","$","2681","1151","#962 of 2,546 Restaurants in Athens","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d10396566-Reviews-Republic_Cafe_Bar_Grill-Athens_Attica.html","http://www.facebook.com/Republic-Cafe-Bar-Grill-499435670254120/"
"Drakou 14 Acropolis Area, Athens 11743 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Cafe","International","Pub",,,,,,,,,"1560","480",,,,,"1560","480",,,,,"1560","480",,,,,"1560","480",,,,,"1560","480",,,,,"1560","480",,,,,"1560","480",,,,,"7238670","false","false","37.965492","23.72597","Fourteen","54","+30 21 0921 0994","$$ - $$$","2681","1154","#965 of 2,546 Restaurants in Athens","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d7238670-Reviews-Fourteen-Athens_Attica.html","http://www.facebook.com/fourteen.bar.athens"
"Dekeleon 4, Athens 11854 Greece",,,,,,,,,,,,,,,,,,,,,"restaurant","International","Barbecue","Greek","Contemporary","Diner","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"1200","810",,,,,,,,,,,,,,,,,,,,,,,"1440","1140",,,,,"1440","1140",,,,,"1440","1140",,,,,"12965735","false","false","37.97855","23.710075","Mezedopolis","32","+30 21 0347 4536","$$ - $$$","2681","1156","#966 of 2,546 Restaurants in Athens","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189400-d12965735-Reviews-Mezedopolis-Athens_Attica.html","https://www.facebook.com/MEZEDOPOLIS/"
