"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Edelweissstr. 10, 81541 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Fusion","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1982662","false","false","48.118332","11.581578","das Edelweiss","45","+49 89 64913780","$","3187","938","#865 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1982662-Reviews-Das_Edelweiss-Munich_Upper_Bavaria_Bavaria.html","http://www.das-edelweiss.de/"
"Prinzregentenplatz 13, 81675 Munich, Bavaria Germany","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011",,,,,,,,,,,,,,,,,"restaurant","Indian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"870","690","1500","1050","870","690","1500","1050",,,"870","690","1500","1050",,,"870","690","1500","1050",,,"870","690","1500","1050",,,"870","690","1500","1050",,,"870","690","1500","1050","983785","false","false","48.139694","11.606663","SWAGAT Indisches Restaurant","369","+49 89 47084844","$$ - $$$","3187","941","#867 of 3,168 Restaurants in Munich","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d983785-Reviews-SWAGAT_Indisches_Restaurant-Munich_Upper_Bavaria_Bavaria.html","http://www.swagat.de"
"Ungererstr. 56 Haltestelle Dietlindenstrasse U6 & Biss 144, 80805 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Afghani","Middle Eastern","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"1440","990",,,"1440","990",,,,,"1440","990",,,,,"1440","990",,,,,"1440","990",,,,,"1440","990",,,,,"1440","990",,,"10438648","false","false","48.166508","11.590439","Khorassan Afghanisches Restaurant","42","+49 89 30668937","$$ - $$$","3187","943","#869 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d10438648-Reviews-Khorassan_Afghanisches_Restaurant-Munich_Upper_Bavaria_Bavaria.html","http://www.khorassan.de"
"Kaiserstr. 47, 80801 Munich, Bavaria Germany","Certificate of Excellence 2011","2011",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly",,,,,,,,,,"1320","1080",,,"930","720","1320","1080",,,"930","720","1320","1080",,,"930","720","1320","1080",,,"930","720","1320","1080",,,"930","720","1320","1080",,,,,,,"1342534","false","false","48.16104","11.57864","Passaparola","93","+49 89 38889590","$$ - $$$","3187","946","#872 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1342534-Reviews-Passaparola-Munich_Upper_Bavaria_Bavaria.html","http://www.passaparola-muenchen.de/"
"Oertelplatz 13, 80999 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly",,,,,,,,,,"info@languorino.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18545738","false","false","48.189358","11.467507","Languorino","22","+49 89 24266970","$$ - $$$","3187","942","#868 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d18545738-Reviews-Languorino-Munich_Upper_Bavaria_Bavaria.html","https://languorino.de/"
"Leopoldstrasse 170, 80804 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","German","Steakhouse","Barbecue","Grill","Diner","Vegetarian Friendly",,,,,,,,"meet@thelonelybroccoli.com",,,,,,,,,,,,,,,,,,,,,,,"1380","1110",,,,,"1380","1110",,,,,"1380","1110",,,"16775027","false","false","48.171383","11.586344","The Lonely Broccoli","47","+49 89 9042194200","$$$$","3187","944","#870 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d16775027-Reviews-The_Lonely_Broccoli-Munich_Upper_Bavaria_Bavaria.html","https://www.thelonelybroccoli.com/"
"Haeberlstr. 1, 80337 Munich, Bavaria Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Halal",,,,,,,,,,,,,"1320","660",,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","660",,,"5824798","false","false","48.12881","11.55863","Tengri Tagh Uyghur Restaurant","55","+49 89 55271643","$","3187","590","#549 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d5824798-Reviews-Tengri_Tagh_Uyghur_Restaurant-Munich_Upper_Bavaria_Bavaria.html","https://www.facebook.com/tengritaghuyghurrestaurant/"
"Frundsbergstr. 46, 80634 Munich, Bavaria Germany","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,,,"restaurant","Greek","Mediterranean","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11825979","false","false","48.157524","11.534467","Cyclades Restaurant","77","+49 89 13958187","$$ - $$$","3187","939","#866 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d11825979-Reviews-Cyclades_Restaurant-Munich_Upper_Bavaria_Bavaria.html","http://www.cyclades-muenchen.de/"
"Frauenstrasse 11, 80469 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly",,,,,,,,,,,,,,,,,"1080","660",,,,,"1080","660",,,,,"1080","660",,,,,"1080","660",,,,,"1080","660",,,,,"1080","660",,,"2440198","false","false","48.133774","11.575967","Wir machen Cupcakes","39","+49 176 66855258","$$ - $$$","3187","940","#27 of 90 Dessert in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d2440198-Reviews-Wir_machen_Cupcakes-Munich_Upper_Bavaria_Bavaria.html","http://www.wirmachencupcakes.de"
"Holzstr. 29, 80469 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"info@heyluigi.de","1440","1020",,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","1020",,,"806658","false","false","48.12889","11.568153","Hey Luigi","73","+49 89 46134741","$$ - $$$","3187","945","#871 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d806658-Reviews-Hey_Luigi-Munich_Upper_Bavaria_Bavaria.html","http://www.heyluigi.de/"
"Wilhelmstrasse 43, 80801 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","International","Mediterranean","Vegetarian Friendly",,,,,,,,,,,"reservierung@grist-grain.de","1320","960",,,"840","720","1320","960",,,"840","720","1320","960",,,"840","720","1320","960",,,"840","720","1320","960",,,"840","720","1320","960",,,"1320","960",,,"15636936","false","false","48.163113","11.583739","Grist & Grain","19","+49 89 23020828","$$ - $$$","3187","937","#864 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d15636936-Reviews-Grist_Grain-Munich_Upper_Bavaria_Bavaria.html","http://grist-grain.de"
"Gollierstr. 14, 80339 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly",,,,,,,,,,,,"info@cafe-kubitscheck.de","1140","600",,,"1140","540",,,,,"1140","540",,,,,"1140","540",,,,,"1140","540",,,,,"1140","540",,,,,"1140","600",,,"3491674","false","false","48.13597","11.5448","Das Neue Kubitscheck","37",,"$$ - $$$","3187","947","#40 of 229 Coffee & Tea in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d3491674-Reviews-Das_Neue_Kubitscheck-Munich_Upper_Bavaria_Bavaria.html","http://www.das-neue-kubitscheck.de"
"Boschetsriederstrasse 63a Gegenüber von Mövenpick Wein, 81379 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Grill","Bar","Mediterranean","Vegetarian Friendly",,,,,,,,"info@ristorante-lincontro.de","1260","1020",,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"1260","1020",,,"11445149","false","false","48.09985","11.530843","Ristorante L'Incontro","31","+49 89 20039664","$$ - $$$","3187","951","#876 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d11445149-Reviews-Ristorante_L_Incontro-Munich_Upper_Bavaria_Bavaria.html","http://www.ristorante-lincontro.de"
"Terminalstrasse Ost 2 Munich International Airport, 85356 Munich, Bavaria Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12357626","false","false","48.35822","11.78887","Selmans Restaurant & Bar","85","+49 89 97585043","$$ - $$$","3187","953","#878 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d12357626-Reviews-Selmans_Restaurant_Bar-Munich_Upper_Bavaria_Bavaria.html","http://www.munich-airport.de/494126"
"Rosenkavalierplatz 12, 81925 Munich, Bavaria Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7376067","false","false","48.151085","11.620436","Bistro Fohn","42","+49 89 915175","$$ - $$$","3187","952","#877 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d7376067-Reviews-Bistro_Fohn-Munich_Upper_Bavaria_Bavaria.html","http://www.bistrofoehn.com"
"Boschetsrieder Str. 47, 81379 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Greek","Seafood","European",,,,,,,,,,,,"1410","720",,,"870","690","1410","1020",,,"870","690","1410","1020",,,"870","690","1410","1020",,,"870","690","1410","1020",,,"870","690","1410","1020",,,"1410","1020",,,"16547195","false","false","48.0998","11.53304","Balkoni Helleni Cuisine","22","+49 89 7854942","$$ - $$$","3187","950","#875 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d16547195-Reviews-Balkoni_Helleni_Cuisine-Munich_Upper_Bavaria_Bavaria.html","https://www.facebook.com/Taverna-Balkoni-1045404672308177/"
"Hohenzollernstr. 11, 80801 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Healthy","Cafe","Vegetarian Friendly","Vegan Options",,,,,,,,,,"schwabing@cotidiano.de","1230","480",,,"1290","480",,,,,"1290","480",,,,,"1290","480",,,,,"1290","480",,,,,"1290","480",,,,,"1290","480",,,"10267195","false","false","48.159637","11.583083","Cotidiano Schwabing","111","+49 89 215436370","$","3187","955","#880 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d10267195-Reviews-Cotidiano_Schwabing-Munich_Upper_Bavaria_Bavaria.html","http://www.cotidiano.de/"
"Luisenstr. 41, 80333 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly",,,,,,,,,,,,,,,,,"1080","450",,,,,"1080","450",,,,,"1080","450",,,,,"1080","450",,,,,"1080","450",,,,,"1080","540",,,"6771624","false","false","48.14885","11.56558","Benko Cafe","25",,"$","3187","956","#41 of 229 Coffee & Tea in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d6771624-Reviews-Benko_Cafe-Munich_Upper_Bavaria_Bavaria.html","http://www.benko-cafe.de/"
"Ungererstr. 161, 80805 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","European","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10675062","false","false","48.17668","11.600803","Grissini e Vini","45","+49 89 366931","$$ - $$$","3187","954","#879 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d10675062-Reviews-Grissini_e_Vini-Munich_Upper_Bavaria_Bavaria.html","http://grissinievini.de"
"Herzogstr. 93, 80796 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Mexican","Latin","Central American","Vegetarian Friendly",,,,,,,,,,,"2160","1020",,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,"2302955","false","false","48.162766","11.571793","Tacos y Tequila","80","+49 89 30657700","$$ - $$$","3187","948","#873 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d2302955-Reviews-Tacos_y_Tequila-Munich_Upper_Bavaria_Bavaria.html","http://www.tacosytequila.de/essen/index.htm"
"Volkartstr. 2, 80634 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","German","European","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"1440","600",,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1500","660",,,,,"1500","660",,,"2351122","false","false","48.15436","11.5299","Grosswirt","73","+49 89 20204888","$$ - $$$","3187","739","#688 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d2351122-Reviews-Grosswirt-Munich_Upper_Bavaria_Bavaria.html","http://www.grosswirt.de"
"Adolf-Kolping-Str. 14, 80336 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Central European","German","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7224343","false","false","48.13815","11.562131","Restaurant Stefans","58","+49 89 55933333","$$ - $$$","3187","545","#508 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d7224343-Reviews-Restaurant_Stefans-Munich_Upper_Bavaria_Bavaria.html","http://www.stefans-muenchen.de/"
"Preysingstr. 77, 81667 Munich, Bavaria Germany","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,,,"restaurant","Central European","German","Vegetarian Friendly",,,,,,,,,,,,"1440","600",,,"1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"1500","600",,,,,"1500","600",,,"2022639","false","false","48.13233","11.60072","Zum Kloster","94","+49 89 4470564","$$ - $$$","3187","685","#638 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d2022639-Reviews-Zum_Kloster-Munich_Upper_Bavaria_Bavaria.html","https://www.facebook.com/pages/Zum-Kloster/123840027669308"
"Schellingstr. 122, 80798 Munich, Bavaria Germany","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","European","Vegetarian Friendly",,,,,,,,,,,,,,,"870","660","1440","1050",,,"870","660","1440","1050",,,"870","660","1440","1050",,,"870","660","1440","1050",,,"870","660","1440","1050",,,"1500","1050",,,"1342536","false","false","48.15419","11.562603","Porto Cervo","78","+49 89 54740677","$$ - $$$","3187","777","#725 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1342536-Reviews-Porto_Cervo-Munich_Upper_Bavaria_Bavaria.html","http://www.trattoria-porto-cervo.de"
"Hans-Sachs-Str. 10, 80469 Munich, Bavaria Germany","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2013","2013","Certificate of Excellence 2011","2011",,,,,,,,,,,,,,,"restaurant","Thai","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"info@lotuslounge.eu","1440","1020",,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1439","0",,,,,"1500","1020",,,"1804933","false","false","48.129948","11.57","Lotus Lounge","136","+49 89 21899755","$$ - $$$","3187","593","#552 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1804933-Reviews-Lotus_Lounge-Munich_Upper_Bavaria_Bavaria.html","http://www.lotuslounge.eu/"
"Falkenstr. 23, 81541 Munich, Bavaria Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","German","European","Austrian","Central European","Vegetarian Friendly",,,,,,,,,"zumaltenkreuz@gmail.com","1440","660",,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,,,"1440","1020",,,"1913543","false","false","48.122307","11.579288","Wirtshaus zum Alten Kreuz","69","+49 89 65308091","$$ - $$$","3187","751","#700 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1913543-Reviews-Wirtshaus_zum_Alten_Kreuz-Munich_Upper_Bavaria_Bavaria.html","http://www.altes-kreuz.de/"
"Daiserstr. 20, 81371 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Spanish","Vegetarian Friendly",,,,,,,,,,,,,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,"742674","false","false","48.120068","11.543806","Centro Espanol","113","+49 89 763653","$$ - $$$","3187","747","#696 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d742674-Reviews-Centro_Espanol-Munich_Upper_Bavaria_Bavaria.html","https://www.facebook.com/Centro-Espa%C3%B1ol-Spanisch-Essen-in-M%C3%BCnchen-163624046982396/"
"Zweibrueckenstr. 17, 80331 Munich, Bavaria Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"1320","600",,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,"6351791","false","false","48.136944","11.579167","Gelateria Garda","68","+49 176 84234008","$","3187","549","#15 of 90 Dessert in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d6351791-Reviews-Gelateria_Garda-Munich_Upper_Bavaria_Bavaria.html","https://www.facebook.com/gelateriagarda/"
"Zenettistr. 12, 80337 Munich, Bavaria Germany","Certificate of Excellence 2020","2020","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","European","Seafood","Mediterranean",,,,,,,,,,,"atlantik@atlantik-muenchen.de",,,,,,,,,,,,,,,,,,,,,,,"1320","1080",,,,,"900","720","1320","1020",,,"1320","1020",,,"1039601","false","false","48.1238","11.557491","Atlantik Fisch Restaurant","104","+49 89 74790610","$$$$","3187","755","#704 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1039601-Reviews-Atlantik_Fisch_Restaurant-Munich_Upper_Bavaria_Bavaria.html","http://www.atlantik-muenchen.de"
"Friedenspromenade 45, 81827 Munich, Bavaria Germany","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,,,"restaurant","German","European","Central European","Vegetarian Friendly",,,,,,,,,,,"1440","600",,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,"780512","false","false","48.109344","11.670504","Franziskanergarten","158","+49 89 4300996","$$ - $$$","3187","552","#514 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d780512-Reviews-Franziskanergarten-Munich_Upper_Bavaria_Bavaria.html","http://www.franziskanergarten.de/"
"Tal 32, 80331 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Arabic","Middle Eastern","Mediterranean","Vegetarian Friendly","Vegan Options",,,,,,,,"info@sesamfalafel.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14922279","false","false","48.135807","11.580294","Sesam Falafel","26","+49 176 83010375","$","3187","553","#515 of 3,168 Restaurants in Munich","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d14922279-Reviews-Sesam_Falafel-Munich_Upper_Bavaria_Bavaria.html","https://www.facebook.com/Sesam-Falafel-171136880311754/"
"Isarauen 8, 81379 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","German","European","Vegetarian Friendly",,,,,,,,,,,"info@zum-flaucher.de","1320","660",,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,"1911512","false","false","48.108513","11.557329","Zum Flaucher","110","+49 89 7232677","$$ - $$$","3187","756","#705 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1911512-Reviews-Zum_Flaucher-Munich_Upper_Bavaria_Bavaria.html","http://www.zum-flaucher.de"
"Dianastr. 1, 80538 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Middle Eastern","Afghani","Vegetarian Friendly","Vegan Options",,,,,,,,,,"info@rumi-restaurant.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10771285","false","false","48.14748","11.595315","Rumi","40","+49 89 24401541","$$ - $$$","3187","748","#697 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d10771285-Reviews-Rumi-Munich_Upper_Bavaria_Bavaria.html","http://www.rumi-restaurant.de"
"Tegernseer Landstr. 11, 81541 Munich, Bavaria Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly",,,,,,,,,"elzedinapajalic@aol.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4735638","false","false","48.11907","11.583567","Pizzeria La Migliore","69","+49 89 69396990","$","3187","546","#509 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d4735638-Reviews-Pizzeria_La_Migliore-Munich_Upper_Bavaria_Bavaria.html","http://www.lamigliore.de"
"Sterneckerstr. 2, 80331 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","German","Beer restaurants","Vegetarian Friendly",,,,,,,,,,,"info@museumsstueberl.com",,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,,,"1020","660",,,"2272479","false","false","48.13528","11.5802","Museumsstuberl","43","+49 89 24243941","$$ - $$$","3187","750","#699 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d2272479-Reviews-Museumsstuberl-Munich_Upper_Bavaria_Bavaria.html","http://www.museumsstueberl.com"
"Hofgraben 3, 80539 Munich, Bavaria Germany","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","European","Mediterranean","Vegetarian Friendly",,,,,,,,,,"info@demolink.org",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,"6453683","false","false","48.138783","11.577989","Kleines Kameel","65","+49 89 24291999","$$ - $$$","3187","753","#702 of 3,168 Restaurants in Munich","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d6453683-Reviews-Kleines_Kameel-Munich_Upper_Bavaria_Bavaria.html","http://www.kleines-kameel.de"
"Thierschstr. 5, 80538 Munich, Bavaria Germany","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Middle Eastern","Afghani","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4994280","false","false","48.13422","11.584325","Lemar","117","+49 89 397677","$$ - $$$","3187","547","#510 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d4994280-Reviews-Lemar-Munich_Upper_Bavaria_Bavaria.html","http://lemar-restaurant.de/isartor"
"Planegger Str. 9a Im Eschenhof, 81241 Munich, Bavaria Germany",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Thai","Vegetarian Friendly",,,,,,,,,,,"reservierung@lemontrees.de","1380","1020",,,,,,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,"1039652","false","false","48.145393","11.459579","Lemontrees","77","+49 89 88952227","$$ - $$$","3187","752","#701 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d1039652-Reviews-Lemontrees-Munich_Upper_Bavaria_Bavaria.html","http://www.lemontrees.de/"
"Brunnstr. 4, 80331 Munich, Bavaria Germany","Certificate of Excellence 2017","2017","Certificate of Excellence 2013","2013","Certificate of Excellence 2011","2011",,,,,,,,,,,,,,,,,"restaurant","Middle Eastern","Afghani","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"1500","1020",,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"1500","1020",,,"929425","false","false","48.13623","11.56883","Lemar","161","+49 89 26949454","$$ - $$$","3187","749","#698 of 3,168 Restaurants in Munich","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g187309-d929425-Reviews-Lemar-Munich_Upper_Bavaria_Bavaria.html","http://lemar-restaurant.de/"
