"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Sofies gate 10, Oslo 0170 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,"1320","840",,,"1320","840",,,,,"1320","840",,,,,"1320","840",,,,,"1320","840",,,,,"1320","840",,,,,"1320","840",,,,,"15128181","false","false","59.92239","10.735675","Pizza Uno Fezo","6","+47 22 69 01 00","","1304","705","#621 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d15128181-Reviews-Pizza_Uno_Fezo-Oslo_Eastern_Norway.html","http://www.pizzaunofezo.no"
"Stortingsgata 4, Oslo 0158 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"peppes@peppes.no","1410","780",,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"1410","660",,,,,"777536","false","false","59.91288","10.738333","Peppes Pizza - Stortingsgaten","257","+47 22 22 55 55","$$ - $$$","1304","707","#622 of 1,280 Restaurants in Oslo","3.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d777536-Reviews-Peppes_Pizza_Stortingsgaten-Oslo_Eastern_Norway.html","http://www.peppes.no"
"Brugata 14, Oslo 0186 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9976919","false","false","59.9137","10.755316","Queens Pub Og Pianobar","26","+47 22 17 70 26","$","1304","964","#858 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d9976919-Reviews-Queens_Pub_Og_Pianobar-Oslo_Eastern_Norway.html","http://www.queenspuboslo.no/"
"Huk Aveny 56, Oslo 0287 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European",,,,,,,,,,,,,"kafevillagrande@hlsenteret.no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3385022","false","false","59.899113","10.678156","Kafe Villa Grande","10","+47 22 84 21 40","$$ - $$$","1304","965","#859 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3385022-Reviews-Kafe_Villa_Grande-Oslo_Eastern_Norway.html","http://www.sult.no/villa-grande"
"Thorvald Meyers gate 81, Oslo 0552 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Pub",,,,,,,,,,,,,,,"1620","1200",,,"1620","1200",,,,,"1620","1200",,,,,"1620","1200",,,,,"1620","1200",,,,,"1620","960",,,,,"1620","960",,,,,"6896845","false","false","59.92026","10.75917","Qadis","18","+47 23 65 05 30","","1304","967","#861 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d6896845-Reviews-Qadis-Oslo_Eastern_Norway.html","http://www.qadis.no"
"Vaalerenggata 5 Valerenggata 5, Oslo 0657 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"bisan@vaalerenggata5.no","1470","900","1500","900","1500","900",,,,,"1470","900","1500","900",,,"1470","900","1500","900",,,"1470","900","1500","900",,,"1470","900","1500","900",,,"1470","900","1500","900",,,"1022729","false","false","59.907463","10.783619","Enga Pub","8","+47 938 94 409","$","1304","966","#860 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d1022729-Reviews-Enga_Pub-Oslo_Eastern_Norway.html","http://www.engapub.biz/"
"Bogstadveien 50, Oslo 0366 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3786251","false","false","59.927498","10.719112","The Highbury Pub","23","+47 22 46 17 71","$$ - $$$","1304","712","#627 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3786251-Reviews-The_Highbury_Pub-Oslo_Eastern_Norway.html","http://highbury.no/"
"Stovner Senter 3, Oslo 0985 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10782443","false","false","59.961197","10.924993","Espresso House","3","+47 21 06 48 27","","1304","970","#56 of 71 Coffee & Tea in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d10782443-Reviews-Espresso_House-Oslo_Eastern_Norway.html","https://no.espressohouse.com/coffee-shops/stovner/"
"Torggata 16, Oslo 0181 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Seafood","Sushi","Street Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16774573","false","false","59.915844","10.750839","Hawaii Oslo","5",,"$$ - $$$","1304","711","#626 of 1,280 Restaurants in Oslo","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d16774573-Reviews-Hawaii_Oslo-Oslo_Eastern_Norway.html","https://www.facebook.com/hawaiioslo/?ref=py_c"
"Cecilie Thoresens vei 13, Oslo 1153 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9699172","false","false","59.87503","10.81052","Pizzabua Lambertseter","21","+47 22 28 48 77","$","1304","716","#630 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d9699172-Reviews-Pizzabua_Lambertseter-Oslo_Eastern_Norway.html","https://www.facebook.com/Pizzabua/"
"Dronningens gate 21, Oslo 0154 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Turkish",,,,,,,,,,,,,,,"1440","900",,,"1440","900",,,,,"1440","900",,,,,"1440","900",,,,,"1440","900",,,,,"1500","900",,,,,"1500","900",,,,,"3846205","false","false","59.911156","10.746825","Konak Restaurant","21",,"","1304","962","#856 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3846205-Reviews-Konak_Restaurant-Oslo_Eastern_Norway.html",
"Munkegata 2, Oslo 0656 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8132531","false","false","59.90854","10.768239","Stockfleths Gamlebyen","9","+47 400 92 367","","1304","714","#45 of 71 Coffee & Tea in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d8132531-Reviews-Stockfleths_Gamlebyen-Oslo_Eastern_Norway.html","http://www.stockfleths.as/"
"Jernbanetorget 1 Oestbanehallen, Oslo 0154 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Fast Food","Sushi","Asian","Vegetarian Friendly","Vegan Options",,,,,,,,,"amir.reza@ssp.no","1200","720",,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"7715538","false","false","59.91071","10.751604","Yo! Sushi","134","+47 21 52 52 90","$$ - $$$","1304","715","#629 of 1,280 Restaurants in Oslo","3.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d7715538-Reviews-Yo_Sushi-Oslo_Eastern_Norway.html","http://ostbanehallen.no/restaurant/sushi/"
"Helgesens gate 50, Oslo 0553 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza","European","Norwegian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1012225","false","false","59.923477","10.765759","Petrus Bar og Restaurant","9",,"","1304","713","#628 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d1012225-Reviews-Petrus_Bar_og_Restaurant-Oslo_Eastern_Norway.html",
"Bogstadsveien 36, Oslo 0350 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9769580","false","false","59.926823","10.720374","Espresso House","32","+47 21 06 48 13","$$ - $$$","1304","718","#632 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d9769580-Reviews-Espresso_House-Oslo_Eastern_Norway.html",
"Groenland 22, Oslo 0188 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Indian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1379164","false","false","59.912964","10.761764","Tandoori Curry Corner","26",,"$","1304","717","#631 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d1379164-Reviews-Tandoori_Curry_Corner-Oslo_Eastern_Norway.html",
"Nordmarka 897, Oslo 0891 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3384693","false","false","60.00943","10.712033","Ullevalseter","26","+47 22 14 35 58","$","1304","719","#633 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3384693-Reviews-Ullevalseter-Oslo_Eastern_Norway.html","http://www.ullevalseter.no/"
"Vitaminveien 29, Oslo 0485 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Diner","Fast Food",,,,,,,,,,,,,"1260","720",,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1260","660",,,,,"1260","660",,,,,"15695033","false","false","59.947758","10.771846","Johnny Rockets - Storo","49","+47 466 74 145","$","1304","969","#59 of 68 Quick Bites in Oslo","3.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d15695033-Reviews-Johnny_Rockets_Storo-Oslo_Eastern_Norway.html","http://www.johnnyrockets.no"
"Trondheimsveien 21, Oslo 0560 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Vietnamese",,,,,,,,,,,,,"pherosushi@hotmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10368839","false","false","59.919727","10.766257","Phero Sushi","2","+47 22 68 82 22","$$$$","1304","968","#862 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d10368839-Reviews-Phero_Sushi-Oslo_Eastern_Norway.html","https://www.facebook.com/PheroSushi/"
"Storgata 25, Oslo 0184 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"13189260","false","false","59.914043","10.751297","Banh Mi Cousins","15","+47 920 17 999","$","1304","720","#634 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d13189260-Reviews-Banh_Mi_Cousins-Oslo_Eastern_Norway.html","http://www.banhmicousins.no"
"Josefines gate 16, Oslo 0351 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8598862","false","false","59.9235","10.727729","Josefine Vertshus","8","+47 22 69 34 99","","1304","729","#643 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d8598862-Reviews-Josefine_Vertshus-Oslo_Eastern_Norway.html","http://www.josefine.no/"
"Toftes gate 19B, Oslo 0556 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","French","European","Canadian",,,,,,,,,,,,,"1320","840",,,"1380","900",,,,,"1380","900",,,,,"1380","900",,,,,"1380","900",,,,,"1440","840",,,,,"1440","840",,,,,"2309145","false","false","59.929478","10.760661","Brasserie 45","12",,"","1304","974","#866 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d2309145-Reviews-Brasserie_45-Oslo_Eastern_Norway.html",
"Tevlingveien 21, Oslo 1081 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Scandinavian","European","Contemporary",,,,,,,,,,,,"info.alna.oslo@radissonblu.com","1320","1020",,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"6779115","false","false","59.930134","10.868249","Restaurant Betula","31","+47 23 28 77 00","$$ - $$$","1304","978","#868 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d6779115-Reviews-Restaurant_Betula-Oslo_Eastern_Norway.html","http://www.radissonblu.com/hotel-osloalna/restaurants-and-bars"
"Nordmarka, Oslo 890 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"post@kikutstua.no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3385024","false","false","60.07637","10.655338","Nordmarka: Kikutstua","22","+47 22 42 01 73","$$ - $$$","1304","724","#638 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3385024-Reviews-Nordmarka_Kikutstua-Oslo_Eastern_Norway.html",
"Storgata 36 J, Oslo 0182 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","European",,,,,,,,,,,,,"booking@gaasa.no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3254860","false","false","59.91537","10.756145","Gaasa","21",,"$$ - $$$","1304","722","#636 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3254860-Reviews-Gaasa-Oslo_Eastern_Norway.html","http://www.gaasa.no"
"Ivan Bjoerndals gate 25, Oslo 0472 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"booking.tivoli@villaparadiso.no","1200","780",,,"1260","960",,,,,"1260","960",,,,,"1260","960",,,,,"1260","960",,,,,"1260","960",,,,,"1260","840",,,,,"20373304","false","false","59.93831","10.763436","Villa Paradiso Lilleborg","6","+47 986 32 573","","1304","979","#869 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d20373304-Reviews-Villa_Paradiso_Lilleborg-Oslo_Eastern_Norway.html","http://www.villaparadiso.no/restauranter/tivoli"
"Lille Stranden 4, Oslo 0252 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,"1260","960",,,"1380","960",,,,,"1380","960",,,,,"1380","960",,,,,"1380","960",,,,,"1380","960",,,,,"1380","960",,,,,"21177658","false","false",,,"Takashi","4","+47 21 01 59 20","","1304","980","#870 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d21177658-Reviews-Takashi-Oslo_Eastern_Norway.html","https://www.takashi.no/"
"Henrik Ibsens gate 90D, Oslo 0255 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12785067","false","false","59.91469","10.719725","Espresso House","4","+47 459 40 524","","1304","977","#57 of 71 Coffee & Tea in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d12785067-Reviews-Espresso_House-Oslo_Eastern_Norway.html","https://no.espressohouse.com/"
"Dronningens gate 16, Oslo 0152 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","French","American","International","European","Norwegian",,,,,,,,,"filmkafeen@gmail.com","1260","780",,,"1140","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1020","720",,,,,"6354142","false","false","59.909615","10.745753","Filmkafeen","11","+47 940 04 175","","1304","976","#867 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d6354142-Reviews-Filmkafeen-Oslo_Eastern_Norway.html","http://www.filmkafeen.no"
"Toeyengata 13, Oslo 0190 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15812751","false","false","59.91321","10.765763","Creamy Oslo","5","+47 909 02 121","","1304","972","#864 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d15812751-Reviews-Creamy_Oslo-Oslo_Eastern_Norway.html","https://www.facebook.com/creamy.oslo/"
"Innspurten 12E, Oslo 0663 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Cafe","Pub",,,,,,,,,,,,"dagligleder@stadionpuben.no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15574985","false","false","59.91731","10.806407","OST","6","+47 464 24 737","","1304","730","#644 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d15574985-Reviews-OST-Oslo_Eastern_Norway.html","http://xn--st-stadionpub-9mb.no/"
"Jernbanetorget 1, Oslo 0154 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza",,,,,,,,,,,,,"ostbanehallen@spuntino.no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9555642","false","false","59.910503","10.728509","Spuntino Oestbanehallen","32","+47 23 11 54 77","$$ - $$$","1304","721","#635 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d9555642-Reviews-Spuntino_Oestbanehallen-Oslo_Eastern_Norway.html","http://www.spuntino.no/ostbanehallen/"
"Klingenberggata 4, Oslo 0161 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8293300","false","false","59.913685","10.733576","McDonald's","36","+47 22 42 09 30","$","1304","975","#60 of 68 Quick Bites in Oslo","3.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d8293300-Reviews-McDonald_s-Oslo_Eastern_Norway.html","http://www.mcdonalds.no/"
"Darres gate 14, Oslo 0175 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2317507","false","false","59.928123","10.754106","Pizza Ricetta","14","+47 21 04 90 80","","1304","725","#639 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d2317507-Reviews-Pizza_Ricetta-Oslo_Eastern_Norway.html","http://ricetta.no/"
"Dronning Eufemias gate 16, Oslo 0191 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18452558","false","false","59.90792","10.75861","Apent Bakeri","6","+47 928 59 007","$","1304","723","#637 of 1,280 Restaurants in Oslo","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d18452558-Reviews-Apent_Bakeri-Oslo_Eastern_Norway.html","http://www.apentbakeri.no/#/dronningeufemiasgate/"
"C. J. Hambros Plass 4, Oslo 0164 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,"marie@stockfleths.as",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12323136","false","false","59.91562","10.74141","Stockfleths Tinghuset","3","+47 400 92 366","","1304","973","#865 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d12323136-Reviews-Stockfleths_Tinghuset-Oslo_Eastern_Norway.html","https://stockfleths.as/"
"Paleet Karl Johans gate 39, Oslo 0162 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12075278","false","false","59.914474","10.737603","The Room Cafe","10","+47 23 89 87 24","$$ - $$$","1304","727","#641 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d12075278-Reviews-The_Room_Cafe-Oslo_Eastern_Norway.html","http://www.paleet.no/butikker/theroom/"
"Mariboes gate 13, Oslo 0183 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4295316","false","false","59.917088","10.75164","Realmat","2","+47 992 98 888","","1304","971","#863 of 1,280 Restaurants in Oslo","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d4295316-Reviews-Realmat-Oslo_Eastern_Norway.html","http://www.realmat.no"
"Ekebergveien 228 B, Oslo 1162 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza","International","American","Vegetarian Friendly",,,,,,,,,,,"nordstrand@egon.no","1380","660",,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"1380","600",,,,,"789718","false","false","59.861256","10.800486","Egon Nordstrand","79","+47 22 29 55 88","$$ - $$$","1304","726","#640 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d789718-Reviews-Egon_Nordstrand-Oslo_Eastern_Norway.html","http://egon.no/restauranter/nordstrand"
"Brenneriveien 5, Oslo 0182 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8553129","false","false","59.91985","10.752192","Brenneriet","6","+47 941 48 780","","1304","728","#642 of 1,280 Restaurants in Oslo","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d8553129-Reviews-Brenneriet-Oslo_Eastern_Norway.html","https://www.facebook.com/kaffekiosken/"
"Kirkeveien 166, Oslo 0450 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Contemporary",,,,,,,,,,,,,"ulleval_nor@espressohouse.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10782491","false","false","59.938095","10.735451","Espresso House","5","+47 459 40 506","","1304","990","#58 of 71 Coffee & Tea in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d10782491-Reviews-Espresso_House-Oslo_Eastern_Norway.html","https://www.facebook.com/pages/category/Coffee-Shop/Espresso-House-Norge-AS-276418853201198/"
"Trondheimsveien 154, Oslo 0570 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"post@kebabbiten.no","1680","660",,,"1680","660",,,,,"1680","660",,,,,"1680","660",,,,,"1680","660",,,,,"1680","660",,,,,"1680","660",,,,,"795547","false","false","59.928993","10.777681","Kebab Biten","12","+47 23 37 77 77","$","1304","988","#878 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d795547-Reviews-Kebab_Biten-Oslo_Eastern_Norway.html",
"Operagata 39, Oslo 0194 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Asian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21138486","false","false","59.90681","10.756029","Koie Ramen Munch","5",,"","1304","983","#873 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d21138486-Reviews-Koie_Ramen_Munch-Oslo_Eastern_Norway.html",
"Sognsveien 75 AMFI Ullevaal, Oslo 0855 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,"stadion@bakerhansen.no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12972121","false","false","59.949753","10.733962","Baker Hansen","7","+47 940 23 232","","1304","987","#877 of 1,280 Restaurants in Oslo","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d12972121-Reviews-Baker_Hansen-Oslo_Eastern_Norway.html","http://www.bakerhansen.no"
"Bygdoey alle 18, Oslo 0262 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"post@nyekastanjen.no",,,,,,,,,,,,,,,,,"1380","840",,,,,"1380","840",,,,,"1425","840",,,,,"1425","840",,,,,"10691557","false","false","59.916416","10.711535","Kastanjen","5","+47 489 95 115","$$ - $$$","1304","984","#874 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d10691557-Reviews-Kastanjen-Oslo_Eastern_Norway.html",
"Nedre Akershus festning, Oslo 15 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"415226@no.issworld.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3384670","false","false",,,"Armed Forces Museum's Cafe Festningen","6","+47 23 09 35 79","","1304","985","#875 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3384670-Reviews-Armed_Forces_Museum_s_Cafe_Festningen-Oslo_Eastern_Norway.html",
"Parkveien 68, Oslo 0254 Norway",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"kna@scandic-hotels.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3385041","false","false","59.913925","10.721176","189 Rom & Kjokken","4","+47 23 15 57 00","","1304","982","#872 of 1,280 Restaurants in Oslo","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g190479-d3385041-Reviews-189_Rom_Kjokken-Oslo_Eastern_Norway.html",
