"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"111 57 Stockholm, Sverige Hoetorgshallen, Stockholm 111 57 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Seafood","Swedish","Scandinavian","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4155230","false","false","59.334473","18.062431","Fiskelaget","23","+46 8 10 36 75","$$ - $$$","3012","1179","#2 of 2 Specialty Food Market in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d4155230-Reviews-Fiskelaget-Stockholm.html","http://www.fiskelaget.se/"
"Hornsbergs Strand 31 112 61 Stockholm, Stockholm Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Asian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7058924","false","false","59.34043","18.0092","Pong Hornsberg","22","+46 8 500 073 63","$$ - $$$","3012","1619","#1,429 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7058924-Reviews-Pong_Hornsberg-Stockholm.html","http://gastrogate.com/restaurang/ponghornsberg/"
"Jan Hagstroms Torg 18, Stockholm 120 71 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"960","480",,,,,,,,,,,"1080","420",,,,,"1080","420",,,,,"1080","420",,,,,"1080","420",,,,,"960","480",,,,,"5972001","false","false","59.30932","18.10308","Bakarna Kafe & Konditori AB","13","+46 76 087 19 22","$$ - $$$","3012","1628","#1,438 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d5972001-Reviews-Bakarna_Kafe_Konditori_AB-Stockholm.html","http://www.bakarna.se"
"Sven Vintappares Grand 3, Stockholm 117 27 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Swedish",,,,,,,,,,,"info@hotelsvenvintappare.se","1020","720",,,,,"1020","720",,,,,"1020","720",,,,,"1020","720",,,,,"1020","720",,,,,"1020","720",,,,,"1020","720",,,,,"12332233","false","false","59.3248","18.06872","Cafe Sven Vintappare","12","+46 8 22 41 40","$$ - $$$","3012","1389","#1,209 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d12332233-Reviews-Cafe_Sven_Vintappare-Stockholm.html","https://hotelsvenvintappare.se/"
"3 Sergels Torg, Stockholm 111 57 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Swedish","International","European","Scandinavian","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2620119","false","false","59.33222","18.06551","Kulturhuset Stories","46","+46 8 611 20 72","$$ - $$$","3012","1044","#886 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d2620119-Reviews-Kulturhuset_Stories-Stockholm.html","http://www.cafestories.se/kulturhuset.html"
"3 Humlegaardsgatan, Stockholm 114 46 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,"1080","570",,,,,"1080","570",,,,,"1080","570",,,,,"1080","570",,,,,"1140","570",,,,,"960","570",,,,,"5972095","false","false","59.33615","18.07782","Planet Food","6","+44 161 834 5165","","3012","1814","#1,611 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d5972095-Reviews-Planet_Food-Stockholm.html","https://www.facebook.com/thisisplanetfood/"
"4 Roerstrandsgatan, Stockholm 113 40 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,"INFO@NONSOLOBAR.SE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9563493","false","false","59.33974","18.035587","Non Solo Bar S:t Eriksplan","24","+46 8 32 22 41","$$ - $$$","3012","1390","#1,210 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d9563493-Reviews-Non_Solo_Bar_S_t_Eriksplan-Stockholm.html","http://www.nonsolobar.se/"
"2 Dialoggatan, Stockholm 141 75 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Bar","European","Pub",,,,,,,,,,"heroncity@olearys.se","1320","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1380","660",,,,,"1380","660",,,,,"3650355","false","false","59.267544","17.91029","OLearys Heron City","70","+46 8 505 602 00","$$ - $$$","3012","1624","#1,434 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d3650355-Reviews-OLearys_Heron_City-Stockholm.html","http://www.olearys.se/heroncity"
"Humlegardsgatan 13, Stockholm 114 46 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"1080","600",,,,,"13971514","false","false","59.33662","18.07549","Ingelsta Kalkon","5","+46 8 660 33 66","","3012","1622","#1,432 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d13971514-Reviews-Ingelsta_Kalkon-Stockholm.html",
"Kammakargatan 9, Stockholm 11140 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","French","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14008917","false","false","59.338913","18.061626","Bar Etable","6",,"","3012","1627","#1,437 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d14008917-Reviews-Bar_Etable-Stockholm.html","http://allegrine.se/"
"Hamngatan 18-20, Stockholm 111 47 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food",,,,,,,,,,,,,"servicecenter.sth@nk.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12076783","false","false","59.33285","18.06936","NK Korv & Glass","7",,"","3012","1625","#1,435 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d12076783-Reviews-NK_Korv_Glass-Stockholm.html","https://www.nk.se/stockholm/restauranger-cafeer-och-barer/nk-korv-glass/"
"3 Sergels Torg, Stockholm 111 57 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Sushi","Chinese",,,,,,,,,,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"7809690","false","false","59.33222","18.06551","Nooshi","31","+46 8 35 25 20","$","3012","1177","#1,011 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7809690-Reviews-Nooshi-Stockholm.html","http://www.nooshi.se/"
"Virkesvagen 17 b, Stockholm 120 30 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Caucasian","American","Bar","International","Pub",,,,,,,,"info@4cornerspizza.se","1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1380","660",,,,,"1380","660",,,,,"21021160","false","false","59.302006","18.096735","4 Corners Pizza","8","+46 70 333 64 08","","3012","1386","#1,206 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d21021160-Reviews-4_Corners_Pizza-Stockholm.html","https://www.4cornerspizza.se/"
"25 Kungsgatan, Stockholm 111 56 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food",,,,,,,,,,,,,,,,,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"1260","600",,,,,"7247919","false","false","59.335987","18.067593","Snack Bar","19","+46 8 799 00 00","$","3012","1046","#888 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7247919-Reviews-Snack_Bar-Stockholm.html","http://snack-bar.se"
"Kvarnbacksvagen 133, Bromma 168 74 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Indian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19837290","false","false","59.34014","17.940968","Oh Delhi","11","+46 8 25 78 17","","77","21","#19 of 79 Restaurants in Bromma","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g230088-d19837290-Reviews-Oh_Delhi-Bromma.html","http://www.ohdelhi.se"
"Hammarby Alle 109 Hammarby Sjöstad, Stockholm 120 64 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","French","European","Albanian","Swedish","Caucasian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11956801","false","false","59.30389","18.09826","Cafe Garden","8","+46 8 91 70 34","$$ - $$$","3012","1620","#1,430 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d11956801-Reviews-Cafe_Garden-Stockholm.html","https://cafegardenhammarbysjostad.gastrogate.com/"
"55 Hornsgatan, Stockholm 118 49 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Swedish",,,,,,,,,,,,"info@bluesbaren.se",,,,,,,,,,,,,,,,,,,"1380","1020",,,,,"1380","1020",,,,,"1500","1020",,,,,"1500","1020",,,,,"7092900","false","false","59.318027","18.056164","Bluesbaren","22","+46 8 409 099 00","$$ - $$$","3012","1180","#1,012 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7092900-Reviews-Bluesbaren-Stockholm.html","http://www.bluesbaren.se"
"24 Hornsbruksgatan, Stockholm 117 34 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Fast Food","European","Swedish","Vegetarian Friendly",,,,,,,,,"info@kakmail.com","1200","720",,,,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"1260","690",,,,,"1260","720",,,,,"6884282","false","false","59.316086","18.034695","KAK","84","+46 8 669 13 12","$$ - $$$","3012","1821","#1,616 of 3,017 Restaurants in Stockholm","3.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d6884282-Reviews-KAK-Stockholm.html","http://käk.com/"
"Sockenvagen 370, Stockholm 122 63 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Diner","Street Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14800389","false","false","59.28354","18.070345","Jett’z Burger","23",,"$$ - $$$","3012","1095","#933 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d14800389-Reviews-Jett_z_Burger-Stockholm.html","http://facebook.com/jettzburger/"
"Torsgatan 10, Stockholm 111 23 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","International","Swedish","Bar","European","Pub","Vegetarian Friendly",,,,,,,,"hilma@staygenerator.com","660","420",,,,,"810","420",,,,,"810","420","1200","1020",,,"810","420","1200","1020",,,"810","420","1200","1020",,,"810","300","1200","960",,,"1200","420",,,,,"11927391","false","false","59.33581","18.05076","Hilma","36","+46 8 505 323 70","$$ - $$$","3012","1182","#1,014 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d11927391-Reviews-Hilma-Stockholm.html","http://www.hilmastockholm.com/"
"Odengaten 70. 113 22, Stockholm Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Sushi","Asian","Chinese","Mongolian","Vegetarian Friendly",,,,,,,,,,"1320","720",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1380","660",,,,,"1380","750",,,,,"1816817","false","false","59.34209","18.046486","KINA MUREN","62","+46 8 31 17 35","$$ - $$$","3012","1382","#1,203 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d1816817-Reviews-KINA_MUREN-Stockholm.html","http://www.kinamuren.nu"
"Spritsvagen 11, Stockholm 128 69 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13551267","false","false","59.25646","18.106035","Sushi Wakasaya","3","+46 8 448 18 09","","3012","1816","#1,613 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d13551267-Reviews-Sushi_Wakasaya-Stockholm.html","http://www.sushiwakasaya.se"
"14 Drottninggatan, Stockholm 111 51 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Swedish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4409918","false","false","59.3298","18.06557","Karamell","12","+46 8 20 00 25","$$ - $$$","3012","1813","#1,610 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d4409918-Reviews-Karamell-Stockholm.html",
"Regeringsgatan 25, Stockholm Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European",,,,,,,,,,,,"1200","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1010196","false","false","59.331436","18.068354","restaurang piazza fiore","61","+46 8 21 71 50","$$ - $$$","3012","1183","#1,015 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d1010196-Reviews-Restaurang_piazza_fiore-Stockholm.html",
"Sturegallerian Vid Sturehof Stureplan 2, Stockholm 115 87 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Swedish","International",,,,,,,,,,,"info@stockholmsmatmarknad.se",,,,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"1200","660",,,,,"1020","660",,,,,"7790357","false","false","59.336006","18.073425","Stockholms Matmarknad","22","+46 8 440 57 34","$$ - $$$","3012","1092","#930 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7790357-Reviews-Stockholms_Matmarknad-Stockholm.html","http://www.stockholmsmatmarknad.se"
"2 Scheelegatan, Stockholm 112 23 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,"info@mayasthlm.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10147618","false","false","59.329086","18.04364","Maya","49","+46 8 651 17 00","$$ - $$$","3012","1623","#1,433 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d10147618-Reviews-Maya-Stockholm.html","http://mayasthlm.com/"
"Hotorget, Stockholm Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,"1140","510",,,,,"1200","360",,,,,"1200","360",,,,,"1200","360",,,,,"1200","360",,,,,"1200","360",,,,,"1200","420",,,,,"2518440","false","false","59.3345","18.06207","Wayne's Coffee","32",,"$$ - $$$","3012","1818","#127 of 152 Quick Bites in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d2518440-Reviews-Wayne_s_Coffee-Stockholm.html","http://www.waynescoffee.se/"
"Tegnergatan 4, Stockholm 11358 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"1200","780",,,,,"1200","720",,,,,"1200","720",,,,,"1200","720",,,,,"1200","720",,,,,"1200","720",,,,,"1200","780",,,,,"16807010","false","false","59.34055","18.06337","Savant Bar","9","+46 76 609 86 07","$$ - $$$","3012","1042","#884 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d16807010-Reviews-Savant_Bar-Stockholm.html","http://www.savantbar.se"
"Ostermalms Saluhall 99-100, Stockholm 114 42 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Swedish","Scandinavian","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7118379","false","false","59.33617","18.07962","Willy Ohlsson","19","+46 8 667 43 66","$","3012","1096","#934 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7118379-Reviews-Willy_Ohlsson-Stockholm.html","http://www.willyohlsson.se"
"34 Drottninggatan, Stockholm 111 51 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Mediterranean","European","Spanish",,,,,,,,,,,"1500","900",,,,,"1500","900",,,,,"1500","900",,,,,"1500","900",,,,,"1500","900",,,,,"1500","900",,,,,"1500","720",,,,,"877590","false","false","59.33168","18.063807","BarCelona Tapas & Bar","230","+46 8 22 37 00","$$ - $$$","3012","1815","#1,612 of 3,017 Restaurants in Stockholm","3.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d877590-Reviews-BarCelona_Tapas_Bar-Stockholm.html","http://www.barcelonabar.com/"
"Hornsgatan 63, Stockholm 118 49 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,"sthlmlaolao@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17780367","false","false","59.317757","18.054127","Lao lao","9","+46 70 488 82 44","$","3012","1043","#885 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d17780367-Reviews-Lao_lao-Stockholm.html","https://www.laolaosthlm.com"
"Dalagatan 58 Hörnet Dalagatan-Karlbergsvägen, Stockholm Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14216013","false","false","59.342842","18.044641","Cafe l’Antico","7",,"$$ - $$$","3012","1176","#1,010 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d14216013-Reviews-Cafe_l_Antico-Stockholm.html",
"Gotgatan 9, Stockholm 116 46 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,"care@joejuice.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12716838","false","false","59.31876","18.07112","Joe & The Juice","9",,"","3012","1820","#46 of 67 Dessert in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d12716838-Reviews-Joe_The_Juice-Stockholm.html","https://www.facebook.com/JOE-THE-JUICE-141563033182503/"
"74 Franzengatan, Stockholm 112 15 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Spanish","Bar","Mediterranean","Pub","Vegetarian Friendly",,,,,,,,,"1440","720",,,,,"840","630","1440","900",,,"840","630","1440","900",,,"840","630","1440","900",,,"840","630","1440","900",,,"840","630","1500","900",,,"1500","720",,,,,"7171647","false","false","59.33891","18.005556","Taperian","88","+46 8 650 19 02","$$ - $$$","3012","1087","#925 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7171647-Reviews-Taperian-Stockholm.html","http://taperian.se"
"12 Wollmar Yxkullsgatan Söder, Stockholm 118 50 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3930700","false","false","59.31684","18.06232","Restaurang Wollmar","20","+46 8 642 66 70","","3012","1038","#880 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d3930700-Reviews-Restaurang_Wollmar-Stockholm.html",
"Malmskillnadsgatan 29, Stockholm 111 57 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7171646","false","false","59.33451","18.06539","Frankes Matbar","14",,"$$ - $$$","3012","1626","#1,436 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7171646-Reviews-Frankes_Matbar-Stockholm.html","http://frankesmatbar.se"
"Karlbergsvagen 43, Stockholm 113 37 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,"info@ikonkafe.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11019308","false","false","59.342514","18.037365","Ikon","16",,"$$ - $$$","3012","1384","#1,204 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d11019308-Reviews-Ikon-Stockholm.html","http://ikonkafe.se/"
"1A Franzengatan Stadshagen, Stockholm 112 51 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,"byfiketstadshagen@bygruppen.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7814748","false","false","59.338963","18.014257","By: Fiket","10","+46 73 361 23 82","$$ - $$$","3012","1383","#42 of 67 Dessert in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7814748-Reviews-By_Fiket-Stockholm.html","https://www.facebook.com/Byfiketstadshagen/"
"Lilla Bantorget 1, Stockholm 111 23 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","French","Asian","Korean",,,,,,,,,,,"info@worldofbeer.se",,,,,,,"1380","960",,,,,"1380","960",,,,,"1380","960",,,,,"1380","960",,,,,"1380","960",,,,,"1380","960",,,,,"14204019","false","false","59.33522","18.05234","World Of Beer","6","+46 72 543 57 06","$$ - $$$","3012","1387","#1,207 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d14204019-Reviews-World_Of_Beer-Stockholm.html","http://www.worldofbeer.se"
"Sjovikstorget 8, Stockholm 117 60 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Lebanese","Mediterranean","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12335302","false","false","59.30807","18.02955","Litani","21","+46 8 400 246 70","$$ - $$$","3012","1040","#882 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d12335302-Reviews-Litani-Stockholm.html","http://www.litani.se"
"Katarina Bangata 21, Stockholm 116 39 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,"hej@demimatbar.se",,,,,,,,,,,,,"1380","870",,,,,"1380","870",,,,,"1380","870",,,,,"1380","870",,,,,"1380","870",,,,,"20306385","false","false","59.312027","18.076647","Demi Mat & Bar","3","+46 70 600 75 70","","3012","1637","#1,446 of 3,017 Restaurants in Stockholm","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d20306385-Reviews-Demi_Mat_Bar-Stockholm.html","https://demimatbar.se/"
"Hantverkargatan 8 Boulebar City Hall'ss T-Line, Stockholm 112 25 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Central European","French","Vegetarian Friendly",,,,,,,,,,"bokning@boulebar.se","960","630",,,,,"1380","900",,,,,"1380","900",,,,,"1380","900",,,,,"1380","900",,,,,"1440","660",,,,,"1440","630",,,,,"7287970","false","false","59.330265","18.046158","Boulebar Radhuset","36","+46 8 714 04 20","$$ - $$$","3012","1089","#927 of 3,017 Restaurants in Stockholm","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7287970-Reviews-Boulebar_Radhuset-Stockholm.html","http://www.boulebar.se/bar-restaurang/radhuset-stockholm/"
"Drottningsholmsvagen 21 Fridhemsgatan, Stockholm 112 42 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese","Sushi","Asian","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2370646","false","false","59.332024","18.02864","Hangchow and Mongolian","34","+46 8 652 28 74","$$ - $$$","3012","1631","#1,441 of 3,017 Restaurants in Stockholm","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d2370646-Reviews-Hangchow_and_Mongolian-Stockholm.html","http://www.hangchow.se"
"18 Upplandsgatan, Stockholm 113 60 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Swedish",,,,,,,,,,,,"info@grammofon.se",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8845573","false","false","59.33863","18.05274","Grammofon","9","+46 8 31 97 00","$$ - $$$","3012","1634","#1,443 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d8845573-Reviews-Grammofon-Stockholm.html","http://grammofon.se"
"St: Goransgatan 67 T-banan Fridhemsplan, Stockholm 112 67 Sweden",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Deli","Swedish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7104415","false","false","59.33346","18.03075","Bagel Deli","15","+46 8 716 11 40","$","3012","1091","#929 of 3,017 Restaurants in Stockholm","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189852-d7104415-Reviews-Bagel_Deli-Stockholm.html","http://www.bageldeli.se/"
