"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Rua Jose Falcao 156, Porto 4050-315 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Portuguese",,,,,,,,"info@cafevitoria.com",,,,,,,,,,,,,"1380","900",,,,,"1380","900",,,,,"1380","900",,,,,"1380","900",,,,,"1380","900",,,,,"2065234","false","false","41.149258","-8.613947","Cafe Vitoria","91","+351 935 587 441","$$ - $$$","1993","929","#839 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d2065234-Reviews-Cafe_Vitoria-Porto_Porto_District_Northern_Portugal.html","http://www.cafevitoria.com/"
"Rua Flores 205, Porto 4050-267 Portugal","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","European","Portuguese","Vegetarian Friendly",,,,,,,,"bodeguita2014@hotmail.com","1500","1200",,,,,,,,,,,"1500","1200",,,,,"1500","1200",,,,,"1500","1200",,,,,"1500","1200",,,,,"1500","1200",,,,,"7239814","false","false","41.144726","-8.612202","Restaurante Bodeguita","115","+351 22 332 3012","$$ - $$$","1993","924","#834 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d7239814-Reviews-Restaurante_Bodeguita-Porto_Porto_District_Northern_Portugal.html","http://www.bodeguita.pt"
"Avenida da Franca 202, Porto 4050-278 Portugal","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Portuguese","Vegetarian Friendly",,,,,,,"ponto2porto@sapo.pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12492247","false","false","41.16071","-8.62818","Ponto 2","49","+351 919 257 911","$$ - $$$","1993","922","#23 of 30 Bakeries in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d12492247-Reviews-Ponto_2-Porto_Porto_District_Northern_Portugal.html","https://www.facebook.com/ponto2porto/"
"Alameda de Eca de Queiros 82, Porto 4200-272 Portugal","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly",,,,,,"pizzapiazza.alameda@gmail.com","900","750","1350","1200",,,,,,,,,"900","750","1410","1200",,,"900","750","1410","1200",,,"900","750","1410","1200",,,"900","750","1410","1200",,,"900","750","1350","1200",,,"7303825","false","false","41.16283","-8.594463","Pizza Piazza","62","+351 22 098 1215","$$ - $$$","1993","923","#833 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d7303825-Reviews-Pizza_Piazza-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/PizzaPiazza.Alameda/"
"Rua Dom Joao de Castro 210, Porto 4150-417 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Portuguese",,,,,,,,,"restaurante.serralves@qrm.pt","1170","600",,,,,,,,,,,"930","720",,,,,"930","720",,,,,"930","720",,,,,"930","720",,,,,"1170","600",,,,,"1968651","false","false","41.159393","-8.659224","Casa de Cha de Serralves","124","+351 22 617 0355","$$ - $$$","1993","930","#840 of 1,989 Restaurants in Porto","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d1968651-Reviews-Casa_de_Cha_de_Serralves-Porto_Porto_District_Northern_Portugal.html",
"Rua da Picaria 30, Porto 4050-477 Portugal","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Portuguese","Vegetarian Friendly",,,,,,,"tramoia.geral@gmail.com","1380","1140",,,,,,,,,,,"900","750","1380","1140",,,"900","750","1380","1140",,,"900","750","1380","1140",,,"900","750","1440","1140",,,"900","750","1440","1140",,,"10787735","false","false","41.14907","-8.612921","Tramoia","60","+351 22 099 5117","$$ - $$$","1993","925","#835 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d10787735-Reviews-Tramoia-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/tramoiarestaurante"
"Rua de Mouzinho da Silveira 196, Porto 4050-417 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"14787395","false","false","41.143612","-8.612991","Starbucks","26","+351 22 043 7782","$$ - $$$","1993","921","#48 of 93 Coffee & Tea in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d14787395-Reviews-Starbucks-Porto_Porto_District_Northern_Portugal.html","http://www.starbucks.pt"
"Rua Passeio Alegre 3 Jardim das Sobreiras, Loja 1, Porto 4150-578 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Portuguese","Vegetarian Friendly","Vegan Options",,,,"bocca.foz.reservas@gmail.com","1380","750",,,,,,,,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"10790258","false","false","41.147293","-8.661645","Bocca Eat & Drink","326","+351 22 617 0004","$$ - $$$","1993","933","#843 of 1,989 Restaurants in Porto","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d10790258-Reviews-Bocca_Eat_Drink-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/RestauranteBocca/"
"Rua Fernandes Tomas 506 8, Porto 4000-211 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Portuguese",,,,,,,,,,"nelsonleitoes@gmail.com",,,,,,,,,,,,,"1020","570",,,,,"1020","570",,,,,,,,,,,"1020","570",,,,,"1020","570",,,,,"7732708","false","false","41.149677","-8.604771","Nelson dos Leitoes","37","+351 919 487 364","$","1993","939","#849 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d7732708-Reviews-Nelson_dos_Leitoes-Porto_Porto_District_Northern_Portugal.html","http://nelsondosleitoes.pt/"
"Rua Sa Noronha 55, Porto 4050-527 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Vegan Options","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15851472","false","false","41.147778","-8.615261","Nectar","32","+351 916 253 990","$$ - $$$","1993","937","#847 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d15851472-Reviews-Nectar-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/nectarbrunch/"
"Rua de Oliveira Monteiro, 178, Porto 4050-073 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Portuguese","Bar","European","Pub",,,,,,,"almadocachorro@gmail.com",,,,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"16644909","false","false","41.15779","-8.621954","Alma do Cachorro","14","+351 22 013 1902","$","1993","934","#844 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d16644909-Reviews-Alma_do_Cachorro-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/Almadocachorro/"
"Rua Miguel Bombarda 418, Porto 4050-378 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","European",,,,,,,,"comunaleporto@gmail.com",,,,,,,"900","750",,,,,"900","750",,,,,"900","750",,,,,"900","750",,,,,"900","750",,,,,"960","780",,,,,"21084192","false","false","41.149525","-8.621921","Comunale Restaurante","10","+351 22 012 4838","$$ - $$$","1993","936","#846 of 1,989 Restaurants in Porto","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d21084192-Reviews-Comunale_Restaurante-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/comunaleporto/"
"Rua Senhora da Luz 356, Porto 4150-698 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza","European","Portuguese",,,,,,,,"clientes@tavi.pt","1200","480",,,,,"1200","435",,,,,"1200","435",,,,,"1200","435",,,,,"1200","435",,,,,"1200","435",,,,,"1200","435",,,,,"12904036","false","false","41.15213","-8.677343","Tavi Padaria Da Foz","37","+351 22 618 0152","$$ - $$$","1993","938","#848 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d12904036-Reviews-Tavi_Padaria_Da_Foz-Porto_Porto_District_Northern_Portugal.html","http://www.tavi.pt/padaria"
"Rua da Firmeza 129, Porto 4000-228 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Portuguese","European",,,,,,,,,,,,,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"5786792","false","false","41.15093","-8.60291","Mini Chefe","28","+351 22 536 4976","$","1993","758","#683 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d5786792-Reviews-Mini_Chefe-Porto_Porto_District_Northern_Portugal.html",
"Rua Jose Falcao 180, Porto 4050-315 Portugal","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,"1440","960",,,,,"1620","1020",,,,,"1620","1020",,,,,"1680","1020",,,,,"1680","1020",,,,,"1680","1020",,,,,"1680","1020",,,,,"12230174","false","false","41.149513","-8.614074","Adega Sports Bar","65","+351 914 780 865","$","1993","932","#842 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d12230174-Reviews-Adega_Sports_Bar-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/AdegaSportsBar/"
"Rua Azevedo de Albuquerque 1 Jardim Das Virtudes, Porto 4050-076 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Portuguese","Vegetarian Friendly","Vegan Options",,,,,,"arvore.restaurante@gmail.com","1020","540",,,,,"1020","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"1380","540",,,,,"8659203","false","false","41.144695","-8.618649","Arvore Restaurante","261","+351 914 638 560","$$ - $$$","1993","767","#692 of 1,989 Restaurants in Porto","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d8659203-Reviews-Arvore_Restaurante-Porto_Porto_District_Northern_Portugal.html","http://www.arvorecoop.pt/contactos"
"Rua Sao Bartolomeu 20 Foz do Douro, Porto 4150-670 Portugal","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Portuguese",,,,,,,,,,"tascabairro@gmail.com","930","690","1440","1140",,,"930","690","1440","1140",,,"930","690","1440","1140",,,"930","690","1440","1140",,,"930","690","1440","1140",,,"930","690","1440","1140",,,"930","690","1440","1140",,,"7649173","false","false","41.1975","-8.629749","Tasca do Bairro","109","+351 22 618 2079","$","1993","770","#695 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d7649173-Reviews-Tasca_do_Bairro-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/tascabairro"
"Rua do Rosario 60 4050-519, Porto 4050-519 Portugal","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly",,,,,,"a_pasta@live.com.pt","1470","720",,,,,"1470","720",,,,,"1470","720",,,,,"1470","720",,,,,"1470","720",,,,,"1470","720",,,,,"1470","720",,,,,"6507836","false","false","41.148335","-8.620561","A Pasta Ristorante","131","+351 915 462 877","$$ - $$$","1993","765","#690 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d6507836-Reviews-A_Pasta_Ristorante-Porto_Porto_District_Northern_Portugal.html","https://www.facebook.com/apastaristorante/"
"Rua de Cedofeita 333, Porto 4050-181 Portugal","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","European","Wine Bar","Portuguese",,,,,,,,"geral@donjamon.pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11851454","false","false","41.152515","-8.618075","Don Jamon","60","+351 22 403 6058","$$ - $$$","1993","761","#686 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d11851454-Reviews-Don_Jamon-Porto_Porto_District_Northern_Portugal.html","http://www.donjamon.pt"
"Rua Infante Dom Henrique 77, Porto 4050-297 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","European","Portuguese",,,,,,,,"info@rc-restaurante.pt","1350","720",,,,,"1350","720",,,,,,,,,,,,,,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"15848548","false","false","41.14085","-8.614834","RC Restaurante","108","+351 22 208 1814","$$ - $$$","1993","764","#689 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d15848548-Reviews-RC_Restaurante-Porto_Porto_District_Northern_Portugal.html","http://www.rc-restaurante.pt/"
"Rua dos Mercadores 170, Porto 4050-374 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Portuguese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2363152","false","false","41.14259","-8.613683","Casa Porto a Noite","408","+351 22 201 0774","$","1993","768","#693 of 1,989 Restaurants in Porto","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d2363152-Reviews-Casa_Porto_a_Noite-Porto_Porto_District_Northern_Portugal.html","http://facebook.com/casaportoanoite"
"Rua de Sao Joao 111, Porto 4050-553 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Portuguese",,,,,,,,,"crisbarribeira@gmail.com","705","660",,,,,"1425","660",,,,,"1425","660",,,,,"1425","660",,,,,"1425","660",,,,,"1425","660",,,,,"1425","660",,,,,"7315906","false","false","41.142464","-8.614113","Cris Bar - Restaurante","231","+351 22 201 7068","$","1993","766","#691 of 1,989 Restaurants in Porto","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d7315906-Reviews-Cris_Bar_Restaurante-Porto_Porto_District_Northern_Portugal.html","http://crisbar.metro.rest"
"Rua Saraiva de Carvalho 24, Porto 4000-520 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Portuguese","Cafe","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19095486","false","false","41.14332","-8.610012","Amor Em Fatias","11","+351 910 751 725","$","1993","940","#49 of 95 Dessert in Porto","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d19095486-Reviews-Amor_Em_Fatias-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/pages/category/Coffee-Shop/Amor-em-Fatias-470038420067144/"
"Rua do Ouro 418 Lordelo Do Ouro, Porto 4150-553 Portugal","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","Healthy","European","Contemporary","Portuguese","Vegan Options","Vegetarian Friendly","Gluten Free Options",,,,"info@elevenlabconcept.com","1110","630",,,,,"1110","630",,,,,,,,,,,"1110","630",,,,,"1110","630",,,,,"1110","630",,,,,"1110","630",,,,,"13441152","false","false","41.14851","-8.638045","Eleven Lab Concept","64","+351 910 550 994","$$ - $$$","1993","763","#688 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d13441152-Reviews-Eleven_Lab_Concept-Porto_Porto_District_Northern_Portugal.html","http://www.elevenlabconcept.com"
"Rua Martires da Liberdade 130, Porto 4050-359 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Fast Food","Pub","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"info@blackmamba.pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7606063","false","false","41.151295","-8.613964","Black Mamba - Burgers & Records","208","+351 22 326 6620","$","1993","762","#687 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d7606063-Reviews-Black_Mamba_Burgers_Records-Porto_Porto_District_Northern_Portugal.html","https://www.facebook.com/blackmambapt"
"Cais das Pedras 33, Porto 4050-465 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean",,,,,,,,,"ristorantequattroporte@gmail.com","960","750",,,,,,,,,,,"1380","1170",,,,,"1380","1170",,,,,"1380","1170",,,,,"1380","1170",,,,,"900","750","1380","1170",,,"19824958","false","false","41.145706","-8.630172","Quattro Porte Ristorante Italiano","11","+351 22 600 1474","$$ - $$$","1993","931","#841 of 1,989 Restaurants in Porto","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d19824958-Reviews-Quattro_Porte_Ristorante_Italiano-Porto_Porto_District_Northern_Portugal.html",
"Avenida Vimara Peres 41, Porto 4000-545 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2304474","false","false","41.142513","-8.610132","Cafe Oasis da Se","50","+351 22 200 2854","$","1993","935","#845 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d2304474-Reviews-Cafe_Oasis_da_Se-Porto_Porto_District_Northern_Portugal.html",
"Praca Dona Filipa de Lencastre 90, Porto 4050-260 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Italian","Pizza","Vegetarian Friendly","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12880685","false","false","41.148106","-8.612971","Prova by Presto Pizza","27","+351 22 203 9151","$$ - $$$","1993","948","#855 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d12880685-Reviews-Prova_by_Presto_Pizza-Porto_Porto_District_Northern_Portugal.html","http://www.prestopizza.pt"
"Rua de Almeiriga Norte 2642, Porto 4455-418 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Portuguese","European",,,,,,,,,,"900","719",,,,,"900","719","1320","1140",,,,,,,,,"900","719","1320","1140",,,"900","719","1320","1140",,,"900","719","1320","1140",,,"900","719","1320","1140",,,"10676663","false","false","41.225975","-8.717446","Restaurante Paraiso","17","+351 22 995 0193","$$ - $$$","1993","945","#853 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d10676663-Reviews-Restaurante_Paraiso-Porto_Porto_District_Northern_Portugal.html",
"Praca Ribeira, Porto 4050-513 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Portuguese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9763871","false","false","41.140778","-8.613056","Bar do Falcao","128","+351 22 606 1640","$$ - $$$","1993","950","#857 of 1,989 Restaurants in Porto","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d9763871-Reviews-Bar_do_Falcao-Porto_Porto_District_Northern_Portugal.html",
"Rua de Gondarem 487, Porto 4150-377 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Fusion","Asian","Vegetarian Friendly",,,,,,"sushihana.foz@gmail.com",,,,,,,"900","750","1380","1170",,,,,,,,,"900","750","1380","1170",,,"900","750","1380","1170",,,"900","750","1440","1170",,,"930","750","1440","1170",,,"12316443","false","false","41.15704","-8.680933","Sushihana Foz","23","+351 938 669 394","$$ - $$$","1993","944","#852 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d12316443-Reviews-Sushihana_Foz-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/sushihana.foz/"
"Rua do Bonfim 134 140, Porto 4300-066 Portugal","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,,,"restaurant","Portuguese","European","Vegetarian Friendly",,,,,,,,"suribachi@net.novis.pt",,,,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"4788204","false","false","41.148796","-8.597101","Suribachi","48","+351 22 510 6700","$","1993","949","#856 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d4788204-Reviews-Suribachi-Porto_Porto_District_Northern_Portugal.html",
"Rua Sa da Bandeira 100-102, Porto 4000-427 Portugal","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Portuguese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2561702","false","false","41.14693","-8.609147","Armazem do Caffe","120",,"$","1993","942","#50 of 93 Coffee & Tea in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d2561702-Reviews-Armazem_do_Caffe-Porto_Porto_District_Northern_Portugal.html","http://www.armazemdocaffe.com"
"Praca Guilherme Gomes Fernandes 39, Porto 4050-293 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Portuguese","European",,,,,,,,,,,,,,,,"1440","719",,,,,"1440","719",,,,,"1440","719",,,,,"1440","719",,,,,"1440","719",,,,,"1440","719",,,,,"8361784","false","false","41.147633","-8.614775","O Prego Da Baixa","32","+351 22 328 3572","$$ - $$$","1993","946","#854 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d8361784-Reviews-O_Prego_Da_Baixa-Porto_Porto_District_Northern_Portugal.html","https://www.facebook.com/opregodabaixa/timeline"
"Avenida da Franca 106, Porto 4050-275 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Portuguese","Cafe","European",,,,,,,,,,,,,,,"1170","450",,,,,,,,,,,,,,,,,,,,,,,"1170","450",,,,,,,,,,,"5977252","false","false","41.16003","-8.62818","Greentea","31","+351 22 606 8805","$","1993","943","#851 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d5977252-Reviews-Greentea-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/greenteaporto?pnref=story"
"Praca da Batalha 62 NH Collection Porto Batalha, Porto 4000-101 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Portuguese","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15143748","false","false","41.14507","-8.60678","Tabu Fine Cousine & Gastro Bar","15",,"$$ - $$$","1993","941","#850 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d15143748-Reviews-Tabu_Fine_Cousine_Gastro_Bar-Porto_Porto_District_Northern_Portugal.html","https://www.nh-collection.com/pt/hotel/nh-collection-porto-batalha/restaurantes"
"Rua Carmelitas 152, Porto 4050-161 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Portuguese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1643687","false","false","41.14676","-8.615089","Pastelaria Bela Torre Restaurante","128","+351 22 205 1938","$","1993","947","#50 of 95 Dessert in Porto","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d1643687-Reviews-Pastelaria_Bela_Torre_Restaurante-Porto_Porto_District_Northern_Portugal.html",
"Rua dos Bragas 374, Porto 4050-122 Portugal","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,,,"restaurant","French","Cafe","European","Portuguese","International","Mediterranean","Vegetarian Friendly","Vegan Options",,,"info@early.pt","1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"14465632","false","false","41.152576","-8.617824","Early","31","+351 22 112 4203","$$ - $$$","1993","769","#694 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d14465632-Reviews-Early-Porto_Porto_District_Northern_Portugal.html","http://www.early.pt"
"Rua de Passos Manuel 34, Porto 4000-381 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","European","Portuguese","Brew Pub",,,,,,,"clube21passosmanuel@gmail.com","900","720","1380","1170",,,"900","720","1380","1170",,,"900","720","1380","1170",,,"900","720","1380","1170",,,"900","720","1380","1170",,,"900","720","1380","1170",,,"900","720","1380","1170",,,"14069408","false","false","41.147224","-8.608102","Clube 21 - Passos Manuel","106","+351 912 041 620","$$ - $$$","1993","779","#704 of 1,989 Restaurants in Porto","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d14069408-Reviews-Clube_21_Passos_Manuel-Porto_Porto_District_Northern_Portugal.html","http://www.facebook.com/Clube21PassosManuel/"
"Rua de Cedofeita 91 Cedofeita, Porto 4050-178 Portugal",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Portuguese",,,,,,,,,"1200","450",,,,,"1200","450",,,,,"1200","450",,,,,"1200","450",,,,,"1200","450",,,,,"1200","450",,,,,"1200","450",,,,,"12336001","false","false","41.14973","-8.616704","Confeitaria Alianca","23","+351 22 200 2292","$","1993","776","#701 of 1,989 Restaurants in Porto","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g189180-d12336001-Reviews-Confeitaria_Alianca-Porto_Porto_District_Northern_Portugal.html",
