"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Csorsz utca 14-16. MOM Sport Center, Budapest 1124 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Vegetarian Friendly",,,,,,,,,,,,"info@cserpestejivo.hu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10167673","false","false","47.48982","19.02294","Cserpes Milk Bar - MOM Sport","32",,"$","3271","1329","#97 of 153 Quick Bites in Budapest","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d10167673-Reviews-Cserpes_Milk_Bar_MOM_Sport-Budapest_Central_Hungary.html","http://www.cserpestejivo.hu/"
"Zay ut 5, Budapest 1037 Hungary","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,,,"restaurant","American","Steakhouse","Bar","Diner","Central American","Barbecue","Vegetarian Friendly",,,,,,,,"dallasetterem@dallasetterem.hu","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1440","660",,,,,"1440","660",,,,,"3358302","false","false","47.55265","19.03019","Dallas Etterem","123","+36 70 779 6520","$$ - $$$","3271","1322","#1,053 of 3,061 Restaurants in Budapest","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d3358302-Reviews-Dallas_Etterem-Budapest_Central_Hungary.html","http://www.dallasetterem.hu"
"Jokai utca 28, Budapest 1066 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Central European","Hungarian",,,,,,,,,,,,"info@cafefactory.hu","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"7607438","false","false","47.508087","19.058155","Cafe Factory","25","+36 1 269 4923","$$ - $$$","3271","1323","#1,054 of 3,061 Restaurants in Budapest","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d7607438-Reviews-Cafe_Factory-Budapest_Central_Hungary.html","http://www.cafefactory.hu"
"Hess Andras ter 4, Budapest 1014 Hungary","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,,,"restaurant","Hungarian","European","Central European",,,,,,,,,,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"6793205","false","false","47.503","19.033129","Matyas Restaurant","71","+36 1 375 6175","$$ - $$$","3271","1325","#1,055 of 3,061 Restaurants in Budapest","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d6793205-Reviews-Matyas_Restaurant-Budapest_Central_Hungary.html","http://www.budavarimatyasetterem.hu"
"Csomori ut 209, Budapest 1162 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"14082194","false","false","47.53048","19.17209","Fazekas Kezmuves Fagylaltozo","11","+36 30 519 4262","$$ - $$$","3271","1327","#1,056 of 3,061 Restaurants in Budapest","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d14082194-Reviews-Fazekas_Kezmuves_Fagylaltozo-Budapest_Central_Hungary.html","http://www.facebook.com/Fazekas-Fagylaltoz%C3%B3-16ker%C3%BClet-1891991631112275/"
"Budapest Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Fusion","Hungarian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15835508","false","false","47.500244","19.065176","Borganika of Budapest","10",,"","3271","1321","#1,052 of 3,061 Restaurants in Budapest","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d15835508-Reviews-Borganika_of_Budapest-Budapest_Central_Hungary.html","http://www.eatwith.com/users/184742?affid=en-tripadvisor-partnership-budapest-h-184742&utm_source=tripadvisor&utm_medium=partnership&utm_campaign=en-tripadvisor-partnership-budapest-h-184742"
"Verseny utca 2., Budapest 1078 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Central European","Hungarian",,,,,,,,,,,,"etterem@lakomativ.hu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17598762","false","false","47.501945","19.0853","Lakomativ Restaurant","19","+36 30 999 5497","$$ - $$$","3271","1339","#1,065 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d17598762-Reviews-Lakomativ_Restaurant-Budapest_Central_Hungary.html","http://lakomativ.hu/"
"Garay ter 3-4, Budapest 1076 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","International","European","Hungarian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1320","660",,,,,"16857750","false","false","47.503746","19.08483","Bendo-Mento Bistro","14","+36 70 433 3131","$$ - $$$","3271","1337","#1,063 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d16857750-Reviews-Bendo_Mento_Bistro-Budapest_Central_Hungary.html","https://www.facebook.com/Bend%C5%91-Ment%C5%91-Bisztr%C3%B3-2301597786786219/"
"Tuzolto utca 11., Budapest 1094 Hungary","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,,,,,,,"restaurant","Hungarian","European",,,,,,,,,,,,,"info@timeoutcorner.hu","1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"2653597","false","false","47.483536","19.072287","Time Out Corner","44","+36 1 218 1464","$$ - $$$","3271","1336","#1,062 of 3,061 Restaurants in Budapest","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d2653597-Reviews-Time_Out_Corner-Budapest_Central_Hungary.html",
"Kepiro u 8, Budapest 1053 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Soups",,,,,,,,,,,,,"info@chillivillage.hu",,,,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,"1140","660",,,,,,,,,,,"13976569","false","false","47.489895","19.060188","Chilli Village","11","+36 30 820 8192","$","3271","1334","#1,060 of 3,061 Restaurants in Budapest","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d13976569-Reviews-Chilli_Village-Budapest_Central_Hungary.html","https://www.facebook.com/chillivillageHU/"
"Vas Utca 3, Budapest 1088 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"dstevenc821@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19257104","false","false","47.495316","19.065926","Happy Panda","10",,"$","3271","1338","#1,064 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d19257104-Reviews-Happy_Panda-Budapest_Central_Hungary.html","https://www.facebook.com/HappyPandainBP"
"Erzsebet korut 51, Budapest 1073 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","American",,,,,,,,,,,,,,"marketbdpst@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16805143","false","false","47.50307","19.06633","Burger Market KORUT","11","+36 30 455 6067","$$ - $$$","3271","1333","#1,059 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d16805143-Reviews-Burger_Market_KORUT-Budapest_Central_Hungary.html","https://www.facebook.com/burgermarketkorut/"
"Varfok utca 30., Budapest 1012 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Hungarian",,,,,,,,,,,,"mokuschinfo@gmail.com","780","540",,,,,"1080","450",,,,,"1080","450",,,,,"1080","450",,,,,"1080","450",,,,,"1080","450",,,,,"960","540",,,,,"10793092","false","false","47.50617","19.02527","Mokusch Kavezo es Tortamuhely","22","+36 20 314 2819","$","3271","1340","#160 of 324 Coffee & Tea in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d10793092-Reviews-Mokusch_Kavezo_es_Tortamuhely-Budapest_Central_Hungary.html","http://www.facebook.com/mokuschkavezo/"
"Erzsebet koerut 43-49, Budapest 1073 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"info@orfeumclub.hu",,,,,,,,,,,,,"1140","960",,,,,"1140","960",,,,,"1440","1200",,,,,"1500","1200",,,,,"1320","1200",,,,,"7747661","false","false","47.50267","19.06677","Orfeum","29","+36 30 948 6448","$$ - $$$","3271","1335","#1,061 of 3,061 Restaurants in Budapest","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d7747661-Reviews-Orfeum-Budapest_Central_Hungary.html","http://www.orfeum.hu"
"Rakoczi Street 11, Budapest 1088 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Healthy","Hungarian",,,,,,,,,,,,,"info@tibidabopekseg.hu",,,,,,,"1080","420",,,,,"1080","420",,,,,"1080","420",,,,,"1080","420",,,,,"1080","420",,,,,"960","540",,,,,"18185956","false","false","47.494934","19.063076","Tibidabo Gluten-Free Bakery","11","+36 30 165 7588","$$ - $$$","3271","1331","#29 of 66 Bakeries in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d18185956-Reviews-Tibidabo_Gluten_Free_Bakery-Budapest_Central_Hungary.html","http://tibidabopekseg.hu/"
"Tarnok utca 15 H-1014, Budapest 1028 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Eastern European","Hungarian","International","European",,,,,,,,,,"info@piknikpavilon.hu","1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"5043056","false","false","47.501205","19.034328","Piknik Pavilon","261","+36 20 260 2455","$$ - $$$","3271","1332","#1,058 of 3,061 Restaurants in Budapest","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d5043056-Reviews-Piknik_Pavilon-Budapest_Central_Hungary.html","http://www.facebook.com/pages/Piknik-Pavilon/1414856708731182"
"Pajkos utca 60, Budapest 1119 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Central European","Hungarian","Soups","Eastern European",,,,,,,,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"2481457","false","false","47.45653","19.03006","Erzsi Mama Konyhaja","37","+36 70 422 8255","$$ - $$$","3271","1210","#960 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d2481457-Reviews-Erzsi_Mama_Konyhaja-Budapest_Central_Hungary.html","http://www.erzsimamakonyhaja.hu/"
"II, Lovohaz utca 17., Budapest Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Hungarian","European","Central European",,,,,,,,,,,,,"1260","480",,,,,"1260","420",,,,,"1260","420",,,,,"1260","420",,,,,"1260","420",,,,,"1320","420",,,,,"1320","420",,,,,"2419237","false","false","47.50974","19.02506","Markus Vendeglo","88","28259602-2-41","$$ - $$$","3271","1453","#1,160 of 3,061 Restaurants in Budapest","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d2419237-Reviews-Markus_Vendeglo-Budapest_Central_Hungary.html","http://markusvendeglo.hu"
"Muzeum koerut 7, Budapest 1053 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8274263","false","false","47.4934","19.06009","Valdocco","10",,"$$ - $$$","3271","1454","#1,161 of 3,061 Restaurants in Budapest","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d8274263-Reviews-Valdocco-Budapest_Central_Hungary.html",
"Hold utca 3-5., Budapest 1054 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Grill","International","Bar","Pub","Hungarian",,,,,,,,,"etterem@hotelpresident.hu","1200","840",,,,,"1200","960",,,,,"1200","960",,,,,"1200","960",,,,,"1200","960",,,,,"1200","960",,,,,"1200","840",,,,,"12564516","false","false","47.503994","19.052929","Intermezzo Roof Terrace","34","+36 1 510 3407","$$ - $$$","3271","1455","#1,162 of 3,061 Restaurants in Budapest","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d12564516-Reviews-Intermezzo_Roof_Terrace-Budapest_Central_Hungary.html","http://hotelpresident.hu/restaurants/intermezzo-roof-terrace"
"Dobrentei utca 22., Budapest 1013 Hungary","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12598682","false","false","47.49161","19.045248","Picnic","34",,"$","3271","1108","#87 of 153 Quick Bites in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d12598682-Reviews-Picnic-Budapest_Central_Hungary.html",
"Baross ter 14., Budapest 1077 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"911343","false","false","47.500854","19.081896","Burger King","58",,"$","3271","1452","#1,159 of 3,061 Restaurants in Budapest","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d911343-Reviews-Burger_King-Budapest_Central_Hungary.html","http://www.burgerking.hu/ettermek/keleti"
"Deal ferenc ut 23, Budapest Hungary","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5494172","false","false","47.497356","19.053755","Starbucks","167","141264444-2-41","$$ - $$$","3271","1205","#90 of 153 Quick Bites in Budapest","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d5494172-Reviews-Starbucks-Budapest_Central_Hungary.html","http://www.starbucks.hu"
"Frankel Leo ut 10, Budapest 1027 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"telefonbisztro@gmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7594520","false","false","47.5134","19.03748","Telefon bistro","11","+36 70 611 6177","$$ - $$$","3271","1460","#1,166 of 3,061 Restaurants in Budapest","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d7594520-Reviews-Telefon_bistro-Budapest_Central_Hungary.html","http://www.facebook.com/TelefonBisztro"
"Mester utca 11., Budapest 1095 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Vegetarian Friendly",,,,,,,,,,,,,"info@mesterbike.hu",,,,,,,"1140","480",,,,,"1140","480",,,,,"1140","480",,,,,"1140","480",,,,,"1140","480",,,,,"780","540",,,,,"10089078","false","false","47.480305","19.070917","Mesterbike + Coffee Project","19","+36 1 218 9986","$$ - $$$","3271","1206","#147 of 324 Coffee & Tea in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d10089078-Reviews-Mesterbike_Coffee_Project-Budapest_Central_Hungary.html","http://mesterbike.hu/coffe-project/"
"Terez koerut 62, Budapest 1066 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Turkish","Middle Eastern","Fast Food","Vegetarian Friendly","Vegan Options","Halal",,,,,,,,"info@starkebab.hu","1620","540",,,,,"1680","540",,,,,"1680","540",,,,,"1680","540",,,,,"1800","540",,,,,"1800","540",,,,,"1800","540",,,,,"4494273","false","false","47.509277","19.0572","Star Kebab Torok Etterem Nyugati","180","+36 70 390 7626","$","3271","1107","#874 of 3,061 Restaurants in Budapest","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d4494273-Reviews-Star_Kebab_Torok_Etterem_Nyugati-Budapest_Central_Hungary.html","http://www.starkebab.hu"
"Pipa utca 4., Budapest 1093 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub",,,,,,,,,,,,,,"1440","960",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"1440","600",,,,,"7744041","false","false","47.487335","19.058899","Cafe Mezes Brasserie","40","+36 30 435 0099","$","3271","1209","#959 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d7744041-Reviews-Cafe_Mezes_Brasserie-Budapest_Central_Hungary.html",
"Garay utca 30, Budapest 1076 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza",,,,,,,,,,,,,"pizzastation2016@gmail.com","1380","660",,,,,,,,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"12311004","false","false","47.502487","19.0829","Pizza Station","11","+36 1 611 3311","$","3271","1458","#1,165 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d12311004-Reviews-Pizza_Station-Budapest_Central_Hungary.html","https://www.facebook.com/Pizza-Station-197250574019231/"
"Erod utca 9., Budapest 1027 Hungary","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Vegetarian Friendly","Gluten Free Options","Vegan Options",,,,,,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"2637884","false","false","47.509167","19.031944","Due Fratelli","126","+36 1 212 6940","$$ - $$$","3271","1202","#955 of 3,061 Restaurants in Budapest","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d2637884-Reviews-Due_Fratelli-Budapest_Central_Hungary.html","http://www.duefratelli.hu"
"Gyoengyvirag utca 8., Budapest 1183 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Central European","Hungarian",,,,,,,,,,,,,"1320","660",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","660",,,,,"1380","660",,,,,"1380","660",,,,,"783538","false","false","47.44486","19.17857","Uj Tunderkert Vendeglo","27","+36 1 291 8268","$$ - $$$","3271","1456","#1,163 of 3,061 Restaurants in Budapest","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d783538-Reviews-Uj_Tunderkert_Vendeglo-Budapest_Central_Hungary.html","http://www.ujtunderkert.hu"
"Raday utca 8., Budapest 1092 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Hungarian","European",,,,,,,,,,,,"ilmezzoungherese@gmail.com","930","720","1440","1020",,,"930","720","1440","1020",,,"930","720","1440","1020",,,"930","720","1440","1020",,,"930","720","1440","1020",,,"930","720","1440","1020",,,"930","720","1440","1020",,,"11961573","false","false","47.488346","19.062546","Il Mezzo Ungherese","25","+36 70 454 1602","$$ - $$$","3271","1457","#1,164 of 3,061 Restaurants in Budapest","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d11961573-Reviews-Il_Mezzo_Ungherese-Budapest_Central_Hungary.html","http://www.ilmezzoungherese.hu"
"Jaszai Mari ter 6., Budapest 1137 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Hungarian","Cafe","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12695962","false","false","47.51421","19.047668","JM6 Sutizo Bakery & Cafe","23","+36 30 235 4890","$$ - $$$","3271","1105","#20 of 66 Bakeries in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d12695962-Reviews-JM6_Sutizo_Bakery_Cafe-Budapest_Central_Hungary.html","https://www.facebook.com/JM6-S%C3%BCtiz%C5%91-Bakery-Caf%C3%A9-277319139400956/"
"Kiraly utca 85. 3 Munites Walking From The Tram 4 And 6, Budapest 1077 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Healthy",,,,,,,,,,,,"fitlife@fitlifebudapest.hu","1080","600",,,,,"1140","600",,,,,"1140","600",,,,,"1140","600",,,,,"1140","600",,,,,"1140","600",,,,,"1080","600",,,,,"8673388","false","false","47.50529","19.069008","Fitlife Sugarfree Confectionery","16","+36 30 711 5591","$$$$","3271","1204","#109 of 215 Dessert in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d8673388-Reviews-Fitlife_Sugarfree_Confectionery-Budapest_Central_Hungary.html","http://www.fitlifebudapest.hu"
"Paulay Ede u. 2., Budapest 1061 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,"fasirt@fasirt.com",,,,,,,"900","690",,,,,"900","690",,,,,"900","690",,,,,"900","690",,,,,"900","690",,,,,"900","690",,,,,"16668432","false","false","47.49942","19.055517","Fasirt Kitchen","14","+36 70 333 9633","$","3271","1451","#105 of 153 Quick Bites in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d16668432-Reviews-Fasirt_Kitchen-Budapest_Central_Hungary.html","https://fasirt.com/en/"
"Raday utca 18., Budapest 1092 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Vietnamese","Asian","Soups",,,,,,,,,,,,,,,,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"13791603","false","false","47.487114","19.063452","PHỞ 18 Budapest","25","+36 30 505 7026","$","3271","1103","#872 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d13791603-Reviews-PH_18_Budapest-Budapest_Central_Hungary.html","http://www.facebook.com/pg/pho18budapest/"
"Bartok Bela ut 34., Budapest 1111 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Seafood","Healthy","Street Food","Hawaiian",,,,,,,,,,"office@pokebowl.hu","1170","690",,,,,"1230","690",,,,,"1230","690",,,,,"1230","690",,,,,"1230","690",,,,,"1230","690",,,,,"1230","690",,,,,"19082558","false","false","47.47922","19.051521","Ono Poke Bowl & Bar","19","+36 70 242 4911","$$ - $$$","3271","1207","#957 of 3,061 Restaurants in Budapest","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d19082558-Reviews-Ono_Poke_Bowl_Bar-Budapest_Central_Hungary.html","http://www.pokebowl.hu"
"Jozsef koerut 63, Budapest 1085 Hungary","Certificate of Excellence 2018","2018","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,"restaurant","Eastern European","Central European","Hungarian","European","Vegetarian Friendly",,,,,,,,,,"info@becsiszelet-vendeglo.hu","1320","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"1380","690",,,,,"2062968","false","false","47.488552","19.064693","Becsiszelet Vendeglo","108","+36 1 318 5751","$$ - $$$","3271","1106","#873 of 3,061 Restaurants in Budapest","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d2062968-Reviews-Becsiszelet_Vendeglo-Budapest_Central_Hungary.html","https://www.facebook.com/becsivendeglo"
"Klauzal Ter 15, Budapest 1072 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Thai","Diner","Healthy",,,,,,,,,,,,,,,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"20053660","false","false","47.500317","19.063452","Im-Oon Thai Food Restaurant","12",,"","3271","1101","#870 of 3,061 Restaurants in Budapest","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d20053660-Reviews-Im_Oon_Thai_Food_Restaurant-Budapest_Central_Hungary.html","https://www.facebook.com/Im-oon-Thai-food-103314491216200/"
"Piarista koz 1. Bejárat a Szabadsajtó útról, Budapest 1052 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","International","European","Hungarian","Cafe","Beer restaurants",,,,,,,,,,"info@haromhollo.hu","1425","720",,,,,"1425","720",,,,,"1425","720",,,,,"1425","720",,,,,"1425","720",,,,,"1425","720",,,,,"1425","720",,,,,"17347520","false","false","47.492043","19.052347","Harom Hollo","10","+36 31 784 6326","$$ - $$$","3271","1342","#161 of 324 Coffee & Tea in Budapest","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d17347520-Reviews-Harom_Hollo-Budapest_Central_Hungary.html","https://www.facebook.com/haromhollo/"
"Hattyu utca 2., Budapest 1015 Hungary",,,,,,,,,,,,,,,,,,,,,,,"restaurant","French","Cafe","European","Vegetarian Friendly",,,,,,,,,,,"cafeflorebudapest@gmail.com",,,,,,,"1200","480",,,,,"1200","480",,,,,"1200","480",,,,,"1200","480",,,,,"1200","480",,,,,"960","540",,,,,"10506109","false","false","47.50723","19.03151","Cafe Flore Matin et Soir","29","+36 30 829 5764","$$ - $$$","3271","1102","#871 of 3,061 Restaurants in Budapest","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d10506109-Reviews-Cafe_Flore_Matin_et_Soir-Budapest_Central_Hungary.html","http://cafeflore.blog.hu"
"Nagymezo street 20., Budapest Hungary","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","International","European","Contemporary",,,,,,,,,,,,"1500","480",,,,,"1500","480",,,,,"1500","480",,,,,"1500","480",,,,,"1500","480",,,,,"1500","480",,,,,"1500","480",,,,,"790121","false","false","47.503704","19.060097","Mai Mano Kavezo","84","+36 1 269 5642","$$ - $$$","3271","1110","#138 of 324 Coffee & Tea in Budapest","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274887-d790121-Reviews-Mai_Mano_Kavezo-Budapest_Central_Hungary.html",
