"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"16 North Bank Street The Mound, Edinburgh EH1 2LP Scotland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Cafe","British","Soups","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"cafeonthemound@outlook.com",,,,,,,"990","540",,,,,"990","540",,,,,"990","540",,,,,"990","540",,,,,"990","540",,,,,"990","540",,,,,"3159607","false","false","55.94993","-3.194596","Cafe on the Mound","208","+44 131 226 7809","$","2181","487","#35 of 214 Coffee & Tea in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d3159607-Reviews-Cafe_on_the_Mound-Edinburgh_Scotland.html","http://www.facebook.com/CafeontheMound"
"23 South Clerk Street, Edinburgh EH8 9JD Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly",,,,,,,,,,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"13010268","false","false","55.9411","-3.181183","Noodles And Dumplings","38","+44 131 662 1222","$","2181","989","#844 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d13010268-Reviews-Noodles_And_Dumplings-Edinburgh_Scotland.html",
"24-26 Shore, Edinburgh EH6 6QN Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Scottish","Seafood","European","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,"seafood@theshipontheshore.co.uk","1320","600",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1471495","false","false","55.976585","-3.169639","The Ship on the Shore","1666","+44 131 555 0409","$$ - $$$","2181","174","#152 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1471495-Reviews-The_Ship_on_the_Shore-Edinburgh_Scotland.html","http://www.theshipontheshore.co.uk/"
"139 Easter Road, Edinburgh EH7 5QA Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Italian","Mediterranean","European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"info@al-dente-restaurant.co.uk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1198485","false","false","55.96128","-3.171219","Al Dente Restaurant","535","+44 131 652 1932","$$ - $$$","2181","179","#157 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1198485-Reviews-Al_Dente_Restaurant-Edinburgh_Scotland.html","http://www.al-dente-restaurant.co.uk"
"1 Brandon Terrace, Edinburgh EH3 5EA Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Italian","Cafe","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"digiorgiocaffe@hotmail.com","1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"10200140","false","false","55.96255","-3.199817","Di Giorgio's","184","+44 131 624 4666","$$ - $$$","2181","175","#153 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d10200140-Reviews-Di_Giorgio_s-Edinburgh_Scotland.html","http://www.facebook.com/digiorgiocaffe/"
"33 Elm Row, Edinburgh EH7 4AH Scotland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Cafe","European","Deli","Vegetarian Friendly","Vegan Options",,,,,,,,,"cafebellina@mail.com","1050","570",,,,,,,,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1050","570",,,,,"11914674","false","false","55.959618","-3.182893","Cafe Bellina","54","+44 131 623 5012","$","2181","488","#428 of 1,906 Restaurants in Edinburgh","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d11914674-Reviews-Cafe_Bellina-Edinburgh_Scotland.html","http://www.cafebellina.com"
"20 Princes St, Edinburgh EH2 2AN Scotland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","British","Scottish","Grill","Vegetarian Friendly","Gluten Free Options","Vegan Options",,,,,,,,,"reservations@twentyprincesstreet.co.uk","1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"4702543","false","false","55.95305","-3.190628","Twenty Princes Street","1177","+44 131 652 7370","$$ - $$$","2181","376","#334 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d4702543-Reviews-Twenty_Princes_Street-Edinburgh_Scotland.html","http://twentyprincesstreet.co.uk"
"158 Dalkeith Road, Edinburgh EH16 5DX Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","European","British","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"info@edinburghfoodstudio.com","1170","720",,,,,,,,,,,,,,,,,,,,,,,"1170","720",,,,,"1170","720",,,,,"1170","720",,,,,"8786943","false","false","55.933804","-3.166917","Edinburgh Food Studio","180","+44 131 258 0758","$$$$","2181","44","#38 of 1,906 Restaurants in Edinburgh","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d8786943-Reviews-Edinburgh_Food_Studio-Edinburgh_Scotland.html","http://www.edinburghfoodstudio.com/"
"71 Rose Street, Edinburgh EH2 2NH Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Mediterranean","European","Turkish","Greek","Healthy","Middle Eastern","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,"mezemezedining@gmail.com","1325","595",,,,,"1325","595",,,,,"1325","595",,,,,"1325","595",,,,,"1325","595",,,,,"1325","595",,,,,"1325","595",,,,,"7282304","false","false","55.952354","-3.199417","Meze Meze","1801","+44 131 629 2990","$$ - $$$","2181","84","#73 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d7282304-Reviews-Meze_Meze-Edinburgh_Scotland.html","http://www.mezemezeedinburgh.com/"
"45 Cockburn Street, Edinburgh EH1 1BS Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Cafe","British","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,,"1140","510",,,,,"1080","510",,,,,"1080","510",,,,,"1080","510",,,,,"1080","510",,,,,"1140","510",,,,,"1140","510",,,,,"10145166","false","false","55.95066","-3.189422","The Wall Coffee and Design House","206",,"$","2181","407","#27 of 264 Quick Bites in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d10145166-Reviews-The_Wall_Coffee_and_Design_House-Edinburgh_Scotland.html","https://www.facebook.com/The-Wall-Coffee-and-Design-House-1009849519102317"
"23-24 Greenside Place, Edinburgh EH1 3AA Scotland","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Bar","Pub","Scottish","British","Gluten Free Options",,,,,,,,,,"info@ccblooms.co.uk","1620","750",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"3668629","false","false","55.957184","-3.185278","CC Blooms","141","+44 131 556 9331","$$ - $$$","2181","985","#840 of 1,906 Restaurants in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d3668629-Reviews-CC_Blooms-Edinburgh_Scotland.html","http://www.ccblooms.co.uk"
"81 High Street Chalmers Close, Edinburgh EH1 1SR Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Cafe","British","Scottish","Vegetarian Friendly",,,,,,,,,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1182509","false","false","55.95046","-3.185678","Forsyth's Tea Room","232","+44 131 557 5150","$","2181","372","#25 of 264 Quick Bites in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1182509-Reviews-Forsyth_s_Tea_Room-Edinburgh_Scotland.html","http://www.facebook.com/pages/Forsyths-Tea-Room/189574281059103"
"85-87 Newington Road, Edinburgh EH9 1QW Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Italian","Seafood","Mediterranean","European","Sardinian","Southern-Italian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"info@ristoranteisola.co.uk","1290","720",,,,,,,,,,,"1320","1020",,,,,"1320","1020",,,,,"1350","720",,,,,"1380","720",,,,,"1380","720",,,,,"9861000","false","false","55.937798","-3.178279","Ristorante Isola","446","+44 131 662 9977","$$ - $$$","2181","81","#70 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d9861000-Reviews-Ristorante_Isola-Edinburgh_Scotland.html","http://www.ristoranteisola.co.uk"
"19 George IV Bridge, Edinburgh EH1 1EE Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Italian","Pizza","Mediterranean","Sicilian","Southern-Italian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"dine@vittoriarestaurant.com",,,,,,,"1080","720",,,,,"1080","720",,,,,"1080","720",,,,,"1080","720",,,,,,,,,,,,,,,,,"734181","false","false","55.9478","-3.19178","Vittoria On The Bridge","2727","+44 131 225 1740","$$ - $$$","2181","335","#297 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d734181-Reviews-Vittoria_On_The_Bridge-Edinburgh_Scotland.html","http://www.vittoriagroup.co.uk/vittoriabridge"
"54-56 Northbridge, Edinburgh EH1 1SB Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"EdinburghNB@BellaItalia.co.uk","1260","690",,,,,"1290","690",,,,,"1290","690",,,,,"1290","690",,,,,"1290","690",,,,,"1290","690",,,,,"1290","690",,,,,"5770917","false","false","55.950214","-3.187699","Bella Italia Edinburgh Royal Mile","2054","+44 131 378 1918","$$ - $$$","2181","402","#357 of 1,906 Restaurants in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d5770917-Reviews-Bella_Italia_Edinburgh_Royal_Mile-Edinburgh_Scotland.html","http://www.bellaitalia.co.uk"
"3 The Shore, Edinburgh EH6 6QW Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Bar","Seafood","British","Pub","Scottish","Gluten Free Options","Vegetarian Friendly",,,,,,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1470","720",,,,,"720535","false","false","55.977386","-3.169247","The Shore","636","+44 131 553 5080","$$ - $$$","2181","172","#150 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d720535-Reviews-The_Shore-Edinburgh_Scotland.html","https://www.fishersrestaurants.co.uk/shore-bar-and-restaurant/"
"88 Haymarket Terrace, Edinburgh EH12 5LQ Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Chinese","Asian","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"info@hauhan.co.uk","1320","1020",,,,,,,,,,,"840","720","1320","1020",,,"840","720","1320","1020",,,"840","720","1320","1020",,,"900","720","1380","1020",,,"1380","960",,,,,"16857165","false","false","55.945972","-3.22291","Hau Han","80","+44 131 281 9331","$$ - $$$","2181","373","#331 of 1,906 Restaurants in Edinburgh","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d16857165-Reviews-Hau_Han-Edinburgh_Scotland.html","http://www.hauhan.co.uk"
"50 Potterrow, Edinburgh EH8 9BT Scotland","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Indian","Asian","Vegetarian Friendly","Vegan Options","Halal",,,,,,,,,,,"1170","690",,,,,"1170","690",,,,,"1170","690",,,,,"1170","690",,,,,"1170","690",,,,,"1170","690",,,,,"1170","690",,,,,"8551725","false","false","55.945156","-3.185396","The Original Mosque Kitchen & Cafe","56","+44 131 629 1630","$","2181","995","#848 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d8551725-Reviews-The_Original_Mosque_Kitchen_Cafe-Edinburgh_Scotland.html","http://edinburghmosquekitchen.com/"
"6 Infirmary Street South Bridge Resource Centre, Edinburgh EH1 1LT Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","International","British","Healthy","Cafe","Vegetarian Friendly",,,,,,,,,,"dan@canongateyouth.org.uk",,,,,,,"900","540",,,,,"900","540",,,,,"900","540",,,,,"900","540",,,,,"900","540",,,,,,,,,,,"8533470","false","false","55.94784","-3.186044","Old School Cafe","27","+44 131 556 9389","$","2181","999","#850 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d8533470-Reviews-Old_School_Cafe-Edinburgh_Scotland.html","http://canongateyouth.org.uk/old-school-cafe/"
"83 Hanover Street, Edinburgh EH2 1EE Scotland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Chilean","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"83@superico.com","1320","720",,,,,,,,,,,,,,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"14904771","false","false","55.95409","-3.197488","SUPERICO Restaurant","144","+44 131 225 4862","$$ - $$$","2181","417","#369 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d14904771-Reviews-SUPERICO_Restaurant-Edinburgh_Scotland.html","https://www.superico.com/"
"25 Forrest Road, Edinburgh EH1 2QH Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Pub","Scottish","Bar",,,,,,,,,,,,,"1440","750",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"1500","720",,,,,"2146822","false","false","55.946037","-3.191092","Sandy Bells","138","+44 131 225 2751","$","2181","413","#366 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2146822-Reviews-Sandy_Bells-Edinburgh_Scotland.html","https://www.facebook.com/pages/category/Pub/Sandy-Bells-166153883425478/"
"100 St. Johns Road Corstorphine,, Edinburgh EH12 8AT Scotland","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2014","2014",,,,,,,,,,,,,,,"restaurant","Indian","Asian","Balti","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"840","750","1380","1020",,,"840","750","1410","1020",,,"840","750","1410","1020",,,"840","750","1410","1020",,,"840","750","1380","1020",,,"840","750","1380","1020",,,"840","750","1380","1020",,,"2651515","false","false","55.94279","-3.282697","St Johns Curry Club","170","+44 131 334 4488","$$ - $$$","2181","1000","#851 of 1,906 Restaurants in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2651515-Reviews-St_Johns_Curry_Club-Edinburgh_Scotland.html","http://www.stjohnscurryclub.com"
"18 Corstorphine Road, Edinburgh EH12 6HN Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","European","British","Pub","Scottish","Vegetarian Friendly","Gluten Free Options",,,,,,,,"murrayfieldl@centraledinburghhotels.co.uk","1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1440","540",,,,,"1500","540",,,,,"1500","540",,,,,"3451678","false","false","55.945557","-3.243697","The Bothy Restaurant and Drinkery","341","+44 131 337 1844","$$ - $$$","2181","992","#846 of 1,906 Restaurants in Edinburgh","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d3451678-Reviews-The_Bothy_Restaurant_and_Drinkery-Edinburgh_Scotland.html","https://themurrayfieldhotel.co.uk/the-bothy/"
"Princes Street, Edinburgh Scotland",,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","British","Contemporary","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,"1110","660",,,,,"1140","600",,,,,"1140","600",,,,,"1140","600",,,,,"1200","600",,,,,"1140","570",,,,,"1140","540",,,,,"4044316","false","false","55.952522","-3.193508","Jenners Main Restaurant","260","+44 131 225 2442","$$ - $$$","2181","993","#847 of 1,906 Restaurants in Edinburgh","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d4044316-Reviews-Jenners_Main_Restaurant-Edinburgh_Scotland.html","http://www.houseoffraser.co.uk"
"9 Brandon Terrace, Edinburgh EH3 5EA Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Cafe","British","Scottish","Grill","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"bluebearedinburgh@gmail.com","870","570",,,,,"870","570",,,,,,,,,,,,,,,,,"870","570",,,,,"870","570",,,,,"870","570",,,,,"3840381","false","false","55.962326","-3.20018","The Blue Bear","521","+44 131 629 0229","$$ - $$$","2181","186","#163 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d3840381-Reviews-The_Blue_Bear-Edinburgh_Scotland.html","http://www.bluebearcafe.co.uk"
"56 Cockburn Street, Edinburgh EH1 1PB Scotland","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,,,,,"restaurant","Fast Food","British","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,,"1320","630",,,,,"1140","660",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1316063","false","false","55.950325","-3.188275","The Baked Potato Shop","536","+44 131 225 7572","$","2181","420","#29 of 264 Quick Bites in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d1316063-Reviews-The_Baked_Potato_Shop-Edinburgh_Scotland.html","http://www.facebook.com/thebakedpotatoshop"
"236 Leith Walk, Edinburgh EH6 5EL Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013",,,,,"restaurant","Italian","Pizza","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,,"info@origano-leith.co.uk","1320","720",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","720",,,,,"1320","720",,,,,"2264348","false","false","55.966663","-3.175196","Origano","814","+44 131 554 6539","$$ - $$$","2181","190","#166 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2264348-Reviews-Origano-Edinburgh_Scotland.html","http://origano-leith.co.uk/"
"81 Rose Street, Edinburgh EH2 3DT Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Cafe","British","Soups","Vegetarian Friendly",,,,,,,,,,,,"1080","750",,,,,"1020","690",,,,,"1020","690",,,,,"1020","690",,,,,"1020","690",,,,,"1020","690",,,,,"1050","690",,,,,"7383248","false","false","55.952232","-3.200592","Latitude Coffee","103","+44 131 496 0223","$$ - $$$","2181","997","#89 of 264 Quick Bites in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d7383248-Reviews-Latitude_Coffee-Edinburgh_Scotland.html","http://latitudecoffee.co.uk/"
"5 Merchant Street, Edinburgh EH1 2QD Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012",,,"restaurant","Italian","Gluten Free Options","Vegetarian Friendly","Vegan Options",,,,,,,,,,,"dine@divinoedinburgh.com",,,,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"1320","1020",,,,,"2193519","false","false","55.947674","-3.191989","Divino Enoteca","1209","+44 131 225 1770","$$ - $$$","2181","184","#161 of 1,906 Restaurants in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d2193519-Reviews-Divino_Enoteca-Edinburgh_Scotland.html","http://divinoedinburgh.com/"
"3 East Market Street Arch 2, Edinburgh EH8 8FS Scotland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,"restaurant","Cafe","Fast Food","Healthy","Soups","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,"gannetandguga@gmail.com","960","600",,,,,"960","480",,,,,"960","480",,,,,"960","480",,,,,"960","480",,,,,"960","480",,,,,"960","600",,,,,"10433207","false","false","55.951477","-3.186474","Gannet and Guga","105","+44 131 558 1762","$","2181","334","#22 of 264 Quick Bites in Edinburgh","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d10433207-Reviews-Gannet_and_Guga-Edinburgh_Scotland.html","http://www.gannetandguga.com"
"604 Lanark Road, Edinburgh EH14 5EN Scotland","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,,,,,"restaurant","British","Scottish","Bar","Pub","Vegetarian Friendly",,,,,,,,,,"info@kinleithmill.com","1380","750",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"8447826","false","false","55.90213","-3.288575","Kinleith Mill","91","+44 131 453 3214","$$ - $$$","2181","996","#849 of 1,906 Restaurants in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d8447826-Reviews-Kinleith_Mill-Edinburgh_Scotland.html","http://www.kinleithmill.com/"
"7-11 Hope Street, Edinburgh EH2 4EL Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Bar","British","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"info@angelssharehotel.com","1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"4270599","false","false","55.950653","-3.208111","Angels Share Hotel, Bar & Restaurant","791","+44 131 247 7000","$$ - $$$","2181","418","#370 of 1,906 Restaurants in Edinburgh","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d4270599-Reviews-Angels_Share_Hotel_Bar_Restaurant-Edinburgh_Scotland.html","http://www.angelssharehotel.com/"
"65 Pleasance, Edinburgh EH8 9TG Scotland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Cafe","British","Scottish","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,,,"bbl.me.ltd@gmail.com","900","540",,,,,"900","480",,,,,"900","480",,,,,"900","480",,,,,"900","480",,,,,"900","480",,,,,"900","480",,,,,"3419419","false","false","55.947","-3.181889","Breakfast, Brunch & Lunch","138","+44 131 662 6969","$","2181","182","#11 of 264 Quick Bites in Edinburgh","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g186525-d3419419-Reviews-Breakfast_Brunch_Lunch-Edinburgh_Scotland.html","http://bblme.co.uk"
