"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"ul. Odolanska 5 Near Ul. Pulawska, Warsaw 02-560 Poland","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Italian","European","Pizza","Vegetarian Friendly",,,,,,,"info@pastaibasta.pl","1200","720",,,"1290","720",,,,,"1290","720",,,,,"1290","720",,,,,"1290","720",,,,,"1290","720",,,,,"1290","720",,,"1730930","false","false","52.20163","21.022343","Pasta i Basta Cafe","68","+48 22 849 40 75","$$ - $$$","2961","480","#28 of 126 Coffee & Tea in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d1730930-Reviews-Pasta_i_Basta_Cafe-Warsaw_Mazovia_Province_Central_Poland.html","http://pastaibasta.pl"
"Chlodna 2/18, Warsaw 00-891 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","Chinese","Thai","Vietnamese","Asian","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13393735","false","false","52.23796","20.99106","Ukim","47","+48 506 511 146","$","2961","479","#421 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d13393735-Reviews-Ukim-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/ukimchlodna"
"ul. Aleje Jerozolimskie 111, Warsaw 02-017 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2013","2013",,,,,,,"restaurant","Polish","European","Eastern European","Central European","International","Vegetarian Friendly","Gluten Free Options",,,,"kredens@kredens.com.pl","1425","705",,,"1410","600",,,,,"1410","600",,,,,"1410","600",,,,,"1410","600",,,,,"1410","600",,,,,"1425","705",,,"948216","false","false","52.225834","20.993704","Grand Kredens, Restauracja","618","+48 22 629 80 08","$$ - $$$","2961","129","#118 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d948216-Reviews-Grand_Kredens_Restauracja-Warsaw_Mazovia_Province_Central_Poland.html","http://www.kredens.com.pl/"
"ul. Prozna 9, Warsaw 00-107 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,"restaurant","Polish","European","Central European","Fusion","Vegan Options","Gluten Free Options","Vegetarian Friendly",,,,"strefa@restauracjastrefa.pl","1440","660",,,"1440","630",,,,,"1440","630",,,,,"1440","630",,,,,"1440","630",,,,,"1440","630",,,,,"1440","660",,,"6523243","false","false","52.23622","21.004065","Strefa Restaurant","236","+48 22 255 08 50","$$$$","2961","128","#117 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d6523243-Reviews-Strefa_Restaurant-Warsaw_Mazovia_Province_Central_Poland.html","http://www.restauracjastrefa.pl/"
"Al. K.E. N. 24, Warsaw 02-722 Poland","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly",,,,,,,"basilia5@wp.pl","1320","720",,,"1320","840",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,"1069080","false","false","52.134212","21.06348","Restauracja Basilia","161","+48 22 894 21 21","$$ - $$$","2961","471","#414 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d1069080-Reviews-Restauracja_Basilia-Warsaw_Mazovia_Province_Central_Poland.html","http://www.basilia.pl"
"ul. Swietokrzyska 30, Warsaw 00-116 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Italian","Pizza","Mediterranean","European","Neapolitan","Campania","Southern-Italian","Vegetarian Friendly","Vegan Options",,,"1320","720",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1380","720",,,,,"1440","720",,,"7178194","false","false","52.23473","21.005682","Spacca Napoli","484","+48 22 127 93 99","$$ - $$$","2961","123","#112 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d7178194-Reviews-Spacca_Napoli-Warsaw_Mazovia_Province_Central_Poland.html","http://www.spaccanapoli.pl/"
"Ul. Jana Bytnara Rudego 23/25 skrzyżowanie ul.Marzanny i Janka Bytnara Rudego, Warsaw 02-645 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian",,,,,,,,,,"locale@locale.waw.pl","1320","720",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,"10039208","false","false","52.19231","21.004028","Locale","59","+48 22 258 86 85","$$ - $$$","2961","445","#392 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d10039208-Reviews-Locale-Warsaw_Mazovia_Province_Central_Poland.html","http://www.locale.waw.pl"
"ul. Ludwika Narbutta 38, Warsaw 02-541 Poland","Certificate of Excellence 2019","2019","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,"info@lodyjednorozec.pl","1260","660",,,"1200","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","720",,,,,"1260","660",,,"8434224","false","false","52.20597","21.01361","Jednorozec Lody Tradycyjne","66","+48 605 045 720","$$ - $$$","2961","441","#20 of 84 Dessert in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d8434224-Reviews-Jednorozec_Lody_Tradycyjne-Warsaw_Mazovia_Province_Central_Poland.html","http://www.lodyjednorozec.pl/"
"ul. Grazyny 16, Warsaw 02-548 Poland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Cafe","European","Vegetarian Friendly","Vegan Options",,,,,,,"cafe@kubekwkubek.com","1140","540",,,"1200","480",,,,,"1200","480",,,,,"1200","480",,,,,"1260","480",,,,,"1260","480",,,,,"1260","480",,,"4346464","false","false","52.203835","21.020567","Kubek w Kubek Cafe","66","+48 796 207 488","$$ - $$$","2961","375","#334 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d4346464-Reviews-Kubek_w_Kubek_Cafe-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/kubekcafe/"
"ul. Krucza 23 W lecie na chodniku ustawiony jest mały ogrodek, Warsaw 00-525 Poland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,"restaurant","Polish","Mediterranean","European","Cafe","Central European","Vegetarian Friendly","Vegan Options",,,,"kawiarniakrucza@gmail.com","1260","540",,,"1320","510",,,,,"1320","510",,,,,"1320","510",,,,,"1320","510",,,,,"1320","510",,,,,"1260","540",,,"8506835","false","false","52.227676","21.017921","Krucza 23 Cafe","84","+48 502 494 746","$$ - $$$","2961","376","#335 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d8506835-Reviews-Krucza_23_Cafe-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/Krucza23"
"ul. Adama Mickiewicza 23, Warsaw 01-517 Poland","Certificate of Excellence 2019","2019","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","Italian","European","Mediterranean","Vegetarian Friendly",,,,,,,,"1320","720",,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,"1960629","false","false","52.263004","20.991196","Da Aldo","134","+48 22 869 09 37","$$ - $$$","2961","474","#417 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d1960629-Reviews-Da_Aldo-Warsaw_Mazovia_Province_Central_Poland.html","http://www.daaldo.pl"
"ul. Walicow 13, Warsaw 00-865 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Polish","European","Eastern European","Central European","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"folkgospoda@folkgospoda.pl","1440","720",,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,"1077896","false","false","52.234867","20.991243","Folk Gospoda","1920","+48 22 890 16 05","$$ - $$$","2961","126","#115 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d1077896-Reviews-Folk_Gospoda-Warsaw_Mazovia_Province_Central_Poland.html","http://www.folkgospoda.pl"
"ul. Miodowa 1, Warsaw 00-080 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly","Vegan Options",,,,,,"miodowa1@trattoriarucola.pl","1320","720",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,"2523371","false","false","52.246185","21.013046","Trattoria Rucola","402","+48 888 575 457","$$ - $$$","2961","125","#114 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d2523371-Reviews-Trattoria_Rucola-Warsaw_Mazovia_Province_Central_Poland.html","http://www.trattoriarucola.pl"
"Swietojanska 13, Warsaw 00-266 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014","Certificate of Excellence 2013","2013","Certificate of Excellence 2012","2012","Certificate of Excellence 2011","2011","restaurant","Polish","European","Eastern European","Central European","Vegetarian Friendly",,,,,,"swietojanska@zapiecek.eu","1380","660",,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,"1069242","false","false","52.248512","21.013239","Restauracja Zapiecek","2932","+48 22 635 61 09","$$ - $$$","2961","124","#113 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d1069242-Reviews-Restauracja_Zapiecek-Warsaw_Mazovia_Province_Central_Poland.html","http://www.zapiecek.eu/"
"ul. Nowy Swiat 23, Warsaw 00-029 Poland","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2013","2013",,,,,,,,,,,,,,,"restaurant","Indian","Asian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"1380","720",,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1440","720",,,,,"1440","720",,,"2009893","false","false","52.23275","21.019743","Buddha Restaurant","252","+48 22 826 35 01","$$ - $$$","2961","374","#333 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d2009893-Reviews-Buddha_Restaurant-Warsaw_Mazovia_Province_Central_Poland.html","http://www.buddha.info.pl"
"Ul. Zlota 48/54 Śródmieście, Warsaw 00-120 Poland","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","European","Bar","Contemporary","Wine Bar",,,,,,,"h3385-fb8@accor.com","1440","600",,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"1440","510",,,,,"1440","600",,,"8420434","false","false","52.230965","21.001871","Winestone Warszawa Centrum","81","+48 22 697 37 55","$$ - $$$","2961","373","#332 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d8420434-Reviews-Winestone_Warszawa_Centrum-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/winestonePL/"
"ul. Krucza 17, Warsaw 00-525 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Cafe","European","Healthy","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"1200","540",,,"1200","480",,,,,"1200","480",,,,,"1200","480",,,,,"1200","480",,,,,"1200","480",,,,,"1200","540",,,"5603846","false","false","52.22562","21.018929","Niezle Ziolko","115","+48 664 844 439","$$ - $$$","2961","121","#110 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d5603846-Reviews-Niezle_Ziolko-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/niezleziolko.warszawa"
"Ul. Hoza 29/31, Warsaw 00-521 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","Healthy","Fast Food","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"kontakt@krowarzywa.pl","1380","660",,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,"8430131","false","false","52.22631","21.014868","Krowarzywa Vegan Burger","210","+48 516 894 767","$","2961","130","#8 of 62 Quick Bites in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d8430131-Reviews-Krowarzywa_Vegan_Burger-Warsaw_Mazovia_Province_Central_Poland.html","http://krowarzywa.pl/en/"
"Grojecka 110, Warsaw Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean","International","European","Vegetarian Friendly","Vegan Options",,,,,,"1380","720",,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,"1407476","false","false","52.20888","20.974142","A modo mio","112","+48 22 823 44 46","$$ - $$$","2961","476","#419 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d1407476-Reviews-A_modo_mio-Warsaw_Mazovia_Province_Central_Poland.html","http://www.amodomio.pl/"
"Wladyslawa Syrokomli 8, Warsaw 03-335 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12330378","false","false","52.28408","21.024933","Balkan Bistro Prespa","37","+48 668 953 396","$$ - $$$","2961","371","#330 of 3,257 Restaurants in Warsaw","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d12330378-Reviews-Balkan_Bistro_Prespa-Warsaw_Mazovia_Province_Central_Poland.html","https://www.facebook.com/bistroprespa/"
"ul. aleja Komisji Edukacji Narodowej 52, Warsaw 02-797 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018",,,,,,,,,,,,,,,"restaurant","American","Steakhouse","Barbecue",,,,,,,,"wolnastol@poczta.fm","1320","720",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,"10536182","false","false","52.143654","21.053919","Wol Na Stol","75","+48 519 656 424","$$ - $$$","2961","475","#418 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d10536182-Reviews-Wol_Na_Stol-Warsaw_Mazovia_Province_Central_Poland.html","http://www.wolnastol.pl/"
"Chlodna 15, Warsaw 00-891 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,"restaurant","French","Vegetarian Friendly",,,,,,,,,"recepcja@chlodna15.pl",,,,,,,,,,,"900","720","1320","1080",,,"900","720","1320","1080",,,"900","720","1320","1080",,,"900","720","1320","1080",,,"900","720","1320","1080","12909817","false","false","52.237164","20.990063","Chlodna 15 by Wilamowski","55","+48 730 737 644","$$$$","2961","372","#331 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d12909817-Reviews-Chlodna_15_by_Wilamowski-Warsaw_Mazovia_Province_Central_Poland.html","http://chlodna15.pl"
"St.Nugat 9, Warsaw 02-776 Poland","Certificate of Excellence 2020","2020",,,,,,,,,,,,,,,,,,,"restaurant","Polish","European","Georgian","Caucasian",,,,,,,"batuminaursynowie@gmail.com","1380","720",,,,,,,,,"1380","720",,,,,"1380","720",,,,,"1440","720",,,,,"1440","720",,,,,"1440","720",,,"15238808","false","false","52.158016","21.02157","Batumi na Ursynowie","75","+48 692 100 010","$$ - $$$","2961","122","#111 of 3,257 Restaurants in Warsaw","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d15238808-Reviews-Batumi_na_Ursynowie-Warsaw_Mazovia_Province_Central_Poland.html","http://batuminaursynowie.pl/"
"ul. Lirowa 42 Szczesliwicki Park, Warsaw 02-387 Poland","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,,,,,"restaurant","American","Bar","Diner","Grill","Central American",,,,,,"elvis@pinkflamingo.pl","1380","720",,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,"1123378","false","false","52.203045","20.962486","Pink Flamingo Restaurant","132","+48 22 658 00 46","$$ - $$$","2961","478","#420 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d1123378-Reviews-Pink_Flamingo_Restaurant-Warsaw_Mazovia_Province_Central_Poland.html","http://www.pinkflamingo.pl/"
"Ul. Rynek Starego Miasta 1/3, Warsaw 00-272 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Polish","Bar","European","Eastern European","Central European","Grill","Vegetarian Friendly",,,,"info@bazyliszek.waw.pl","1440","660",,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,"947919","false","false","52.24962","21.012417","Bazyliszek Restauracja","1366","+48 22 831 18 41","$$ - $$$","2961","379","#338 of 3,257 Restaurants in Warsaw","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d947919-Reviews-Bazyliszek_Restauracja-Warsaw_Mazovia_Province_Central_Poland.html","http://www.bazyliszek.waw.pl/en/"
"Sniadeckich 12/16 Plac Konstytucji, Warsaw 00-656 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","French","Japanese","Polish","Cafe",,,,,,"biuro@elkrepel.com","1200","540",,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,,,,,"17468728","false","false","52.220875","21.013605","El Krepel","53","+48 531 033 230","$$ - $$$","2961","378","#337 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d17468728-Reviews-El_Krepel-Warsaw_Mazovia_Province_Central_Poland.html","http://www.elkrepel.com"
"Radna 14, Warsaw 00-341 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015",,,,,,,,,"restaurant","Polish","European","Healthy","International","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,"restauracja@vegdeli.pl","1200","720",,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,,,"1320","720",,,"4607107","false","false","52.240673","21.02324","Veg Deli","226","+48 796 617 515","$$ - $$$","2961","127","#116 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d4607107-Reviews-Veg_Deli-Warsaw_Mazovia_Province_Central_Poland.html","http://www.facebook.com/vegdeli"
"ul. Nowogrodzka 38, Warsaw 00-691 Poland","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,,,"restaurant","Polish","European",,,,,,,,,"info@metrnadziemia.pl","1200","720",,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1440","480",,,,,"1440","720",,,"8120459","false","false","52.228497","21.011171","Metr nad Ziemia","60","+48 518 718 141","$$ - $$$","2961","377","#336 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d8120459-Reviews-Metr_nad_Ziemia-Warsaw_Mazovia_Province_Central_Poland.html","http://www.metrnadziemia.pl/"
"Jasna 26, Warsaw 00-054 Poland","Certificate of Excellence 2019","2019",,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Greek","Grill","European","Vegetarian Friendly","Vegan Options",,,,,"biuro@kavos.pl","1380","720",,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1440","720",,,,,"1440","720",,,"12179841","false","false","52.23669","21.010134","Kavos Grill & Bar","62","+48 22 692 71 05","$$ - $$$","2961","380","#339 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d12179841-Reviews-Kavos_Grill_Bar-Warsaw_Mazovia_Province_Central_Poland.html","http://kavos.pl/pl/witaj/"
"Ul. Wybrzeze Kosciuszkowskie 31/33, Warsaw 00-379 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017",,,,,,,,,,,,,"restaurant","European","American","Bar","International","Pub","Central European","Vegetarian Friendly",,,,"kontakt@nadwislanski-swit.pl","1320","720",,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1500","720",,,,,"1500","720",,,"9597360","false","false","52.237988","21.032602","Nadwislanski Swit","82","+48 733 185 812","$$ - $$$","2961","385","#343 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d9597360-Reviews-Nadwislanski_Swit-Warsaw_Mazovia_Province_Central_Poland.html","http://www.nadwislanski-swit.pl"
"Zabkowska 29, Warsaw 03-736 Poland",,,,,,,,,,,,,,,,,,,,,"restaurant","Indian",,,,,,,,,,"praga@bombajmasala.pl","1260","600",,,"1320","660",,,,,"1320","660",,,,,"1380","660",,,,,"1380","660",,,,,"1425","660",,,,,"1425","600",,,"17478320","false","false","52.255173","21.04473","Bombaj Masala Praga","26","+48 22 210 42 03","$$ - $$$","2961","488","#429 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d17478320-Reviews-Bombaj_Masala_Praga-Warsaw_Mazovia_Province_Central_Poland.html","http://bombajmasala.pl/praga/"
"ul. Kobielska 6, Warsaw 04-359 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2017","2017",,,,,,,,,,,,,,,,,"restaurant","Italian","European","Pizza","Vegetarian Friendly",,,,,,,"kobielska6@incantorestauracja.pl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7309080","false","false","52.24713","21.090279","Incanto Restaurant","66","+48 22 610 82 82","$$ - $$$","2961","481","#422 of 3,257 Restaurants in Warsaw","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d7309080-Reviews-Incanto_Restaurant-Warsaw_Mazovia_Province_Central_Poland.html","http://www.incantorestauracja.pl/"
"Al. Wyzwolenia 18 Lokal 2U, Warsaw 00-570 Poland","Certificate of Excellence 2013","2013",,,,,,,,,,,,,,,,,,,"restaurant","French","Cafe","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,"antonina.orlinska@charlottewaw.com","1080","540",,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,,,"1080","540",,,"2266605","false","false","52.220055","21.018559","Charlotte","639","+48 662 204 555","$$ - $$$","2961","384","#342 of 3,257 Restaurants in Warsaw","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d2266605-Reviews-Charlotte-Warsaw_Mazovia_Province_Central_Poland.html","http://www.bistrocharlotte.com/"
"Al. Jana Pawla II 23, Warsaw 00-854 Poland","Certificate of Excellence 2020","2020","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016","Certificate of Excellence 2015","2015","Certificate of Excellence 2014","2014",,,,,,,"restaurant","Indian","Vegetarian Friendly","Vegan Options","Gluten Free Options",,,,,,,"restauracja@bombajmasala.pl","1380","660",,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,"2701235","false","false","52.236244","20.997177","Bombaj Masala","639","+48 22 653 96 00","$$ - $$$","2961","138","#124 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d2701235-Reviews-Bombaj_Masala-Warsaw_Mazovia_Province_Central_Poland.html","https://bombajmasala.pl/centrum/"
"ul. Saska 16, Warsaw 03-968 Poland","Certificate of Excellence 2019","2019","Certificate of Excellence 2018","2018","Certificate of Excellence 2017","2017","Certificate of Excellence 2016","2016",,,,,,,,,,,,,"restaurant","Asian","Thai","Vegetarian Friendly","Vegan Options",,,,,,,,"1260","780",,,"1380","960",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,,,"1380","720",,,"6581823","false","false","52.227547","21.06431","Naam Thai Restaurant","182","+48 505 110 100","$$ - $$$","2961","382","#341 of 3,257 Restaurants in Warsaw","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274856-d6581823-Reviews-Naam_Thai_Restaurant-Warsaw_Mazovia_Province_Central_Poland.html","http://naam.pl"
