"address","awards/0/name","awards/0/year","awards/1/name","awards/1/year","awards/2/name","awards/2/year","awards/3/name","awards/3/year","awards/4/name","awards/4/year","awards/5/name","awards/5/year","awards/6/name","awards/6/year","awards/7/name","awards/7/year","awards/8/name","awards/8/year","awards/9/name","awards/9/year","awards/10/name","awards/10/year","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","cuisine/9","cuisine/10","cuisine/11","cuisine/12","cuisine/13","cuisine/14","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/0/2/close","hours/0/2/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/1/2/close","hours/1/2/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/2/2/close","hours/2/2/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/3/2/close","hours/3/2/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/4/2/close","hours/4/2/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/5/2/close","hours/5/2/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","hours/6/2/close","hours/6/2/open","id","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Reznicka 1891/10 Praha 1, Prague 110 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Pub","Wine Bar","Soups",,,,,,,,,,,,,"1380","1020",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","1020",,,,,"7244214","false","false","50.07806","14.42323","Cafe bar Kolibka","16","+420 776 712 419","$","5265","2192","#1,829 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d7244214-Reviews-Cafe_bar_Kolibka-Prague_Bohemia.html","http://kolibka.cz"
"Jugoslavska 15, Prague 12000 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Mediterranean","Deli","Italian","Cafe","Fast Food","Wine Bar",,,,,,,,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"1320","480",,,,,"12032446","false","false","50.075424","14.432811","Giuseppe7","11","+420 731 500 759","$","5265","2195","#1,832 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d12032446-Reviews-Giuseppe7-Prague_Bohemia.html","http://www.facebook.com/Giuseppe7Giuseppe7/"
"U studanky 253/27, Prague 170 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Pub",,,,,,,,,,,,,,,"obchod@pifko.info","1380","660",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","630",,,,,"1380","660",,,,,"3605711","false","false","50.101685","14.424936","Base Camp Pivni Galerie","14","+420 773 260 707","$$ - $$$","5265","2141","#1,784 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d3605711-Reviews-Base_Camp_Pivni_Galerie-Prague_Bohemia.html","http://www.pifko.info"
"Terronska 7, Prague 160 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Barbecue","Sushi","Vegetarian Friendly",,,,,,,,,,,,"info@hiro-restaurant.cz",,,,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"1380","1020",,,,,"10962171","false","false","50.10187","14.39904","Hiro Japanese BBQ","26","+420 220 570 302","$$$$","5265","2194","#1,831 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d10962171-Reviews-Hiro_Japanese_BBQ-Prague_Bohemia.html","http://www.hiro-restaurant.cz"
"Maiselova 62/8, Prague Praha 1 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Czech","Eastern European","Central European","International",,,,,,,,,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"814946","false","false","50.088608","14.418596","Restaurant U Golema","580","+420 222 328 165","$$ - $$$","5265","2133","#1,776 of 5,416 Restaurants in Prague","3.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d814946-Reviews-Restaurant_U_Golema-Prague_Bohemia.html","http://www.restaurantugolema.cz"
"Kladenska 27, Prague 16000 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,"cukrarna@mucenka.cz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12950674","false","false","50.09739","14.3649","Cukrarna Mucenka","7","+420 607 010 723","$","5265","2201","#1,838 of 5,416 Restaurants in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d12950674-Reviews-Cukrarna_Mucenka-Prague_Bohemia.html","http://www.mucenka.cz"
"Vrsovicka 80, Prague Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","European","Czech","Pub","Central European",,,,,,,,,,,"info@vrsovickakozlovna.cz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10489867","false","false","50.070026","14.473568","Vrsovicka kozlovna","65","+420 777 575 302","$$ - $$$","5265","2138","#1,781 of 5,416 Restaurants in Prague","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d10489867-Reviews-Vrsovicka_kozlovna-Prague_Bohemia.html","http://www.vrsovickakozlovna.cz/"
"Male namesti 143/2 Praha 1 - Stare Mesto, Prague 110 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Pub","International",,,,,,,,,,,,,"coyotesbar@email.cz","1680","480",,,,,"1680","480",,,,,"1680","480",,,,,"1680","480",,,,,"1680","480",,,,,"1680","480",,,,,"1680","480",,,,,"3862866","false","false","50.086548","14.419473","Coyotes Prague","539","+420 774 155 956","$$ - $$$","5265","2142","#1,785 of 5,416 Restaurants in Prague","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d3862866-Reviews-Coyotes_Prague-Prague_Bohemia.html","http://www.coyotesprague.cz"
"Pobrezni 1, Prague 18600 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8445238","false","false","50.09301","14.43957","Atrium Restaurant","19","+420 224 841 111","$$ - $$$","5265","2144","#1,787 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d8445238-Reviews-Atrium_Restaurant-Prague_Bohemia.html","http://www3.hilton.com/en/hotels/czech-republic/hilton-prague-PRGHITW/dining/index.html"
"Galerie Harfa Ceskomoravska 2420/15a První Patro, Prague 19000 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","Cafe","Mediterranean",,,,,,,,,,,,"weloveitalypraha@gmail.com","1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"23000752","false","false","50.104416","14.490649","We Love Italy, Pasta & Pizza, Prague","6","+420 608 608 557","$","5265","2147","#1,790 of 5,416 Restaurants in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d23000752-Reviews-We_Love_Italy_Pasta_Pizza_Prague-Prague_Bohemia.html","http://www.facebook.com/We-love-Italy-Prague-102577488381852"
"Nadrazni 25, Prague 150 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza","European","Vegetarian Friendly","Gluten Free Options",,,,,,,,,,,"andel@coloseum.cz","1410","660",,,,,"1410","600",,,,,"1410","600",,,,,"1410","600",,,,,"1410","600",,,,,"1410","600",,,,,"1410","660",,,,,"1116607","false","false","50.07155","14.40403","Pizza Coloseum Zlaty AndEl","288","+420 257 322 622","$$ - $$$","5265","2143","#1,786 of 5,416 Restaurants in Prague","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1116607-Reviews-Pizza_Coloseum_Zlaty_AndEl-Prague_Bohemia.html","http://www.coloseum.cz/"
"Jindrisska 19, Prague 110 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"1260","660",,,,,"16556273","false","false","50.084347","14.428792","Comebuy","14","+420 774 545 688","","5265","2151","#1,794 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d16556273-Reviews-Comebuy-Prague_Bohemia.html","http://www.facebook.com/comebuycz"
"Politickych veznu 916/16, Prague 110 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","International","European","Czech","Central European",,,,,,,,,,,,"restaurant@sovereignhotel.cz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4793197","false","false","50.08223","14.43023","Restaurant Mr. A","36","+420 221 111 000","$$ - $$$","5265","2145","#1,788 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d4793197-Reviews-Restaurant_Mr_A-Prague_Bohemia.html","http://www.sovereignhotel.cz"
"Na Vinici 272/2, Prague Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza",,,,,,,,,,,,,,,,,,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,,,,,,,"4768634","false","false","50.07888","14.4908","U Kmotra","12",,"$$ - $$$","5265","2148","#1,791 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d4768634-Reviews-U_Kmotra-Prague_Bohemia.html",
"Areal Vystaviste Holesovice Se Situe Pres des Krizik Fountain, Prague 170 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Czech",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8586467","false","false","50.10566","14.42927","U Primasu","8","+420 604 852 830","$$ - $$$","5265","2150","#1,793 of 5,416 Restaurants in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d8586467-Reviews-U_Primasu-Prague_Bohemia.html","http://www.uprimasu.cz"
"Belgicka 335/26, Prague 120 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","American",,,,,,,,,,,,,,,"info@dish.cz","1320","720",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"18926698","false","false","50.07313","14.436175","DISH Belgicka","8","+420 233 340 701","$$ - $$$","5265","2149","#1,792 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d18926698-Reviews-DISH_Belgicka-Prague_Bohemia.html","http://dish.cz"
"Londynska 30, Prague 12000 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","International","European","Czech",,,,,,,,,,,,,"londynska@bistraw.cz","1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1080","600",,,,,,,,,,,"12980106","false","false","50.07298","14.43461","bistRAW & Tea","17","+420 234 265 127","$","5265","2146","#1,789 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d12980106-Reviews-BistRAW_Tea-Prague_Bohemia.html","http://bistraw.cz"
"Francouzska 84, Prague Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Wine Bar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13434722","false","false","50.071796","14.4475","Na brehu rhony","7","+420 222 932 236","$$ - $$$","5265","2254","#1,885 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d13434722-Reviews-Na_brehu_rhony-Prague_Bohemia.html","http://www.nabrehurhony.cz"
"Sokolovska 106/42, Prague 186 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Japanese","Sushi","Asian","Fast Food",,,,,,,,,,,,"mail@sushitime.cz",,,,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,,,,,,,"4035759","false","false","50.09324","14.44796","Sushi Time Sokolovska","32","+420 224 829 390","$$ - $$$","5265","2260","#1,891 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d4035759-Reviews-Sushi_Time_Sokolovska-Prague_Bohemia.html","http://www.sushitime.cz/"
"Manesova 59, Prague 12000 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","International",,,,,,,,,,,,,,,"info@cloudroom.cz","1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1440","660",,,,,"1500","660",,,,,"1500","660",,,,,"1440","660",,,,,"13838134","false","false","50.077797","14.444211","CloudRoom","7","+420 737 606 998","$","5265","2261","#1,892 of 5,416 Restaurants in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d13838134-Reviews-CloudRoom-Prague_Bohemia.html","http://www.cloudroom.cz"
"Opatovicka, 7, Prague Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,"1320","600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1320","600",,,,,"7124255","false","false","50.07908","14.41611","Cafe Rybka","17","+420 224 931 265","$","5265","2258","#1,889 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d7124255-Reviews-Cafe_Rybka-Prague_Bohemia.html","http://cs-cz.facebook.com/CafeRybka"
"Seifertova 573/11, Prague 130 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Vietnamese","Thai","Vegetarian Friendly",,,,,,,,,,,,,"1260","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1260","600",,,,,"4768206","false","false","50.08507","14.440749","Viet Flavor","23","+420 702 348 888","$","5265","2255","#1,886 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d4768206-Reviews-Viet_Flavor-Prague_Bohemia.html",
"Zitna 4, Prague 12000 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Asian","Vietnamese","Brew Pub","Cafe","Pub","Wine Bar","Vegetarian Friendly","Vegan Options",,,,,,,,"kafe79prg@gmail.com",,,,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"12460072","false","false","50.07726","14.421957","Kafe 79","26","+420 223 002 386","$$ - $$$","5265","2253","#1,884 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d12460072-Reviews-Kafe_79-Prague_Bohemia.html","http://Facebook.com/kafe79"
"Kostnicke namEsti 653, Prague 13000 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Mediterranean",,,,,,,,,,,,,,"info@lacasatrattoria.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17212864","false","false","50.086117","14.448139","La Casa Trattoria - Zizkov","16","+420 602 123 375","$$ - $$$","5265","2259","#1,890 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d17212864-Reviews-La_Casa_Trattoria_Zizkov-Prague_Bohemia.html","http://www.lacasatrattoria.com/zizkov"
"Milady Horakove, 513/17, Prague Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Fast Food","Turkish",,,,,,,,,,,,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"7124135","false","false","50.09906","14.43291","Lanka","14","+420 222 946 222","$","5265","2193","#1,830 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d7124135-Reviews-Lanka-Prague_Bohemia.html","http://www.bistrolanka.cz"
"Misenska 10, Prague 11800 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","American","International","Italian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10400344","false","false","50.08775","14.40767","Bubbles","10","+420 777 987 043","$","5265","2262","#142 of 212 Dessert in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d10400344-Reviews-Bubbles-Prague_Bohemia.html","http://Facebook.com/bubblespraha"
"Pod Stolovou Horou 3, Prague 15800 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Fast Food","Asian","Vietnamese","Diner",,,,,,,,,,,"info@goodieskitchen.cz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17806064","false","false","50.056046","14.347265","Goodies Home Kitchen","7","+420 722 111 144","","5265","2257","#1,888 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d17806064-Reviews-Goodies_Home_Kitchen-Prague_Bohemia.html","http://www.facebook.com/goodiesrestaurants/"
"Skolska 1267/30 Václavské náměstí, Prague 11000 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Bar","Cafe","European","Czech","International",,,,,,,,,,,"therapy@sananim.cz","1320","720",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","630",,,,,"1320","720",,,,,"1049380","false","false","50.079567","14.424051","Cafe Therapy","53","+420 774 491 177","$$ - $$$","5265","2256","#1,887 of 5,416 Restaurants in Prague","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1049380-Reviews-Cafe_Therapy-Prague_Bohemia.html","http://www.cafe-therapy.cz"
"Nadrazni 33/13, Prague 150 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza",,,,,,,,,,,,,,,"kmpizza@centrum.cz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8066921","false","false","50.06945","14.40546","KM Pizza","16","+420 774 466 457","$","5265","2267","#1,896 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d8066921-Reviews-KM_Pizza-Prague_Bohemia.html","http://www.kmpizza.com/"
"Ungelt Square, Prague Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3803871","false","false",,,"Blue Eagle Cafe","9",,"","5265","2263","#240 of 434 Coffee & Tea in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d3803871-Reviews-Blue_Eagle_Cafe-Prague_Bohemia.html",
"Italska 1223/20, Prague 12000 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","International","Soups","South American","Healthy",,,,,,,,,,,"stepin@stepin.shop",,,,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,,,,,,,"14775079","false","false","50.077675","14.436266","Amazonia cafe - STEP IN","6","+420 777 143 804","$$ - $$$","5265","2266","#1,895 of 5,416 Restaurants in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d14775079-Reviews-Amazonia_cafe_STEP_IN-Prague_Bohemia.html","http://www.stepin.shop"
"V Celnici 10, Prague Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","European","Czech",,,,,,,,,,,,,,,,,,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,"1320","600",,,,,,,,,,,"4767722","false","false","50.08824","14.43209","Wine & Dine","13",,"$$ - $$$","5265","2264","#1,893 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d4767722-Reviews-Wine_Dine-Prague_Bohemia.html",
"Nachodska 868/ 28, Prague 109 00 Czech Republic","Certificate of Excellence 2015","2015",,,,,,,,,,,,,,,,,,,,,"restaurant","Italian","Pizza",,,,,,,,,,,,,,"info@pizzaturbanti.cz","1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1198601","false","false","50.112522","14.596389","La Trattoria Turbanti","128","+420 281 921 818","$$ - $$$","5265","2271","#1,900 of 5,416 Restaurants in Prague","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d1198601-Reviews-La_Trattoria_Turbanti-Prague_Bohemia.html","http://pizzaturbanti.cz"
"Jihlavska 509/48, Prague 140 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Czech","European",,,,,,,,,,,,,,"cervena.cibule@volny.cz","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"4769160","false","false","50.044125","14.457411","Cervena Cibule","24","+420 261 262 026","$$ - $$$","5265","2265","#1,894 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d4769160-Reviews-Cervena_Cibule-Prague_Bohemia.html","http://www.cervena-cibule.cz"
"Mikovcova-475/7, Prague 12039 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,"1320","720",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","720",,,,,"12186041","false","false","50.0922","14.44365","Hurry Curry indian restaurant","10","+420 777 771 094","$$ - $$$","5265","2270","#1,899 of 5,416 Restaurants in Prague","4.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d12186041-Reviews-Hurry_Curry_indian_restaurant-Prague_Bohemia.html","http://www.hurrycurry.cz"
"Shmeralova 228/4, Prague 170 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe","Fast Food",,,,,,,,,,,,,,"info@lovekido.cz","1080","720",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1200","540",,,,,"1080","720",,,,,"4209881","false","false","50.101715","14.422256","KIDO Bistro & Shop","17","+420 233 320 426","$$ - $$$","5265","2556","#2,143 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d4209881-Reviews-KIDO_Bistro_Shop-Prague_Bohemia.html","http://lovekido.cz"
"Vrchlabska 5, Prague Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant",,,,,,,,,,,,,,,,,"1200","675",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","675",,,,,"9793221","false","false","50.130493","14.547007","Kbelino Pizza Italiana","8","+420 739 101 343","","5265","2559","#2,144 of 5,416 Restaurants in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d9793221-Reviews-Kbelino_Pizza_Italiana-Prague_Bohemia.html","http://www.kbelinopizza.cz/"
"Seifertova 67, Prague 130 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Pizza","Italian","Vegetarian Friendly",,,,,,,,,,,,,"ruslan.martinov@pizza-einstein.cz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10733602","false","false","50.08464","14.448661","Pizza Einstein","21","+420 222 780 350","$","5265","2562","#2,147 of 5,416 Restaurants in Prague","3.5","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d10733602-Reviews-Pizza_Einstein-Prague_Bohemia.html","http://www.pizza-einstein.cz/seifertova"
"Vodickova 699/28, Prague Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","Cafe",,,,,,,,,,,,,,,,"1140","840",,,,,"1140","540",,,,,"1140","540",,,,,"1140","540",,,,,"1140","540",,,,,"1140","540",,,,,"1140","840",,,,,"16970047","false","false","50.07112","14.41909","Selfiecoffee","5","+420 604 109 357","","5265","2558","#269 of 434 Coffee & Tea in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d16970047-Reviews-Selfiecoffee-Prague_Bohemia.html","https://www.facebook.com/1.selfiecoffee/"
"Revnicka 1 Metropole Zličín, Prague 15521 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","American","Fast Food",,,,,,,,,,,,,,"info@frogurt.cz","1290","540",,,,,"1290","540",,,,,"1290","540",,,,,"1290","540",,,,,"1290","540",,,,,"1290","540",,,,,"1290","540",,,,,"10432662","false","false","50.05357","14.287108","Frogurt Zlicin","6","+420 601 588 106","$","5265","2557","#152 of 212 Dessert in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d10432662-Reviews-Frogurt_Zlicin-Prague_Bohemia.html","https://www.facebook.com/Frogurt-505185133012234/timeline"
"Strahovska 128, Prague 11800 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","International","European","Czech",,,,,,,,,,,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"1350","720",,,,,"17339855","false","false","50.08622","14.38744","Senses Garden Restaurant","5","+420 226 080 100","$$ - $$$","5265","2561","#2,146 of 5,416 Restaurants in Prague","5.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d17339855-Reviews-Senses_Garden_Restaurant-Prague_Bohemia.html","http://sensesgardenrestaurant.com/"
"Ceskomoravska, 2420/15A, Prague 190 00 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","American","Fast Food",,,,,,,,,,,,,,"bkharfa@amrest.eu","1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"1320","540",,,,,"7123785","false","false","50.103817","14.491014","Burger King","11","+420 235 013 573","$","5265","2554","#2,141 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d7123785-Reviews-Burger_King-Prague_Bohemia.html","https://www.burgerking.cz/?y_source=1_MTU2OTc5NzctNzY5LWxvY2F0aW9uLndlYnNpdGU%3D"
"Slovansky Ostrov, Prague Praha 1 Czech Republic",,,,,,,,,,,,,,,,,,,,,,,"restaurant","International",,,,,,,,,,,,,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"1320","660",,,,,"7114425","false","false","50.07744","14.4132","Kavarna S.P.L.A.V","15","+420 602 219 534","$","5265","2563","#2,148 of 5,416 Restaurants in Prague","4.0","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g274707-d7114425-Reviews-Kavarna_S_P_L_A_V-Prague_Bohemia.html",
